CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/03/2021;1;1.102;R
ES0031300000000000ED;01/03/2021;2;0.215;R
ES0031300000000000ED;01/03/2021;3;0.149;R
ES0031300000000000ED;01/03/2021;4;0.207;R
ES0031300000000000ED;01/03/2021;5;0.255;R
ES0031300000000000ED;01/03/2021;6;0.235;R
ES0031300000000000ED;01/03/2021;7;0.369;R
ES0031300000000000ED;01/03/2021;8;0.301;R
ES0031300000000000ED;01/03/2021;9;0.287;R
ES0031300000000000ED;01/03/2021;10;0.557;R
ES0031300000000000ED;01/03/2021;11;0.721;R
ES0031300000000000ED;01/03/2021;12;1.659;R
ES0031300000000000ED;01/03/2021;13;0.394;R
ES0031300000000000ED;01/03/2021;14;1.668;R
ES0031300000000000ED;01/03/2021;15;0.037;R
ES0031300000000000ED;01/03/2021;16;0.098;R
ES0031300000000000ED;01/03/2021;17;0.036;R
ES0031300000000000ED;01/03/2021;18;0.083;R
ES0031300000000000ED;01/03/2021;19;0.052;R
ES0031300000000000ED;01/03/2021;20;0.236;R
ES0031300000000000ED;01/03/2021;21;0.679;R
ES0031300000000000ED;01/03/2021;22;0.673;R
ES0031300000000000ED;01/03/2021;23;0.63;R
ES0031300000000000ED;01/03/2021;24;0.51;R
ES0031300000000000ED;02/03/2021;1;0.713;R
ES0031300000000000ED;02/03/2021;2;0.509;R
ES0031300000000000ED;02/03/2021;3;0.447;R
ES0031300000000000ED;02/03/2021;4;0.469;R
ES0031300000000000ED;02/03/2021;5;0.441;R
ES0031300000000000ED;02/03/2021;6;0.458;R
ES0031300000000000ED;02/03/2021;7;0.456;R
ES0031300000000000ED;02/03/2021;8;1.292;R
ES0031300000000000ED;02/03/2021;9;1.888;R
ES0031300000000000ED;02/03/2021;10;0.875;R
ES0031300000000000ED;02/03/2021;11;0.137;R
ES0031300000000000ED;02/03/2021;12;0.104;R
ES0031300000000000ED;02/03/2021;13;0.125;R
ES0031300000000000ED;02/03/2021;14;0.376;R
ES0031300000000000ED;02/03/2021;15;0.208;R
ES0031300000000000ED;02/03/2021;16;0.078;R
ES0031300000000000ED;02/03/2021;17;0.084;R
ES0031300000000000ED;02/03/2021;18;0.047;R
ES0031300000000000ED;02/03/2021;19;0.106;R
ES0031300000000000ED;02/03/2021;20;0.729;R
ES0031300000000000ED;02/03/2021;21;0.906;R
ES0031300000000000ED;02/03/2021;22;1.127;R
ES0031300000000000ED;02/03/2021;23;0.85;R
ES0031300000000000ED;02/03/2021;24;0.989;R
ES0031300000000000ED;03/03/2021;1;0.97;R
ES0031300000000000ED;03/03/2021;2;0.69;R
ES0031300000000000ED;03/03/2021;3;0.799;R
ES0031300000000000ED;03/03/2021;4;0.739;R
ES0031300000000000ED;03/03/2021;5;0.717;R
ES0031300000000000ED;03/03/2021;6;0.824;R
ES0031300000000000ED;03/03/2021;7;0.75;R
ES0031300000000000ED;03/03/2021;8;0.803;R
ES0031300000000000ED;03/03/2021;9;1.293;R
ES0031300000000000ED;03/03/2021;10;2.553;R
ES0031300000000000ED;03/03/2021;11;0.535;R
ES0031300000000000ED;03/03/2021;12;1.105;R
ES0031300000000000ED;03/03/2021;13;0.047;R
ES0031300000000000ED;03/03/2021;14;0.157;R
ES0031300000000000ED;03/03/2021;15;0.094;R
ES0031300000000000ED;03/03/2021;16;0.044;R
ES0031300000000000ED;03/03/2021;17;0.048;R
ES0031300000000000ED;03/03/2021;18;0.394;R
ES0031300000000000ED;03/03/2021;19;0.328;R
ES0031300000000000ED;03/03/2021;20;0.335;R
ES0031300000000000ED;03/03/2021;21;0.682;R
ES0031300000000000ED;03/03/2021;22;1.068;R
ES0031300000000000ED;03/03/2021;23;1.22;R
ES0031300000000000ED;03/03/2021;24;0.998;R
ES0031300000000000ED;04/03/2021;1;0.652;R
ES0031300000000000ED;04/03/2021;2;0.653;R
ES0031300000000000ED;04/03/2021;3;0.682;R
ES0031300000000000ED;04/03/2021;4;0.611;R
ES0031300000000000ED;04/03/2021;5;0.617;R
ES0031300000000000ED;04/03/2021;6;0.74;R
ES0031300000000000ED;04/03/2021;7;0.905;R
ES0031300000000000ED;04/03/2021;8;0.622;R
ES0031300000000000ED;04/03/2021;9;0.969;R
ES0031300000000000ED;04/03/2021;10;1.431;R
ES0031300000000000ED;04/03/2021;11;0.522;R
ES0031300000000000ED;04/03/2021;12;0.194;R
ES0031300000000000ED;04/03/2021;13;0.047;R
ES0031300000000000ED;04/03/2021;14;0.082;R
ES0031300000000000ED;04/03/2021;15;0.085;R
ES0031300000000000ED;04/03/2021;16;0.045;R
ES0031300000000000ED;04/03/2021;17;0.094;R
ES0031300000000000ED;04/03/2021;18;0.063;R
ES0031300000000000ED;04/03/2021;19;0.083;R
ES0031300000000000ED;04/03/2021;20;0.639;R
ES0031300000000000ED;04/03/2021;21;0.886;R
ES0031300000000000ED;04/03/2021;22;0.773;R
ES0031300000000000ED;04/03/2021;23;0.788;R
ES0031300000000000ED;04/03/2021;24;0.728;R
ES0031300000000000ED;05/03/2021;1;0.628;R
ES0031300000000000ED;05/03/2021;2;0.281;R
ES0031300000000000ED;05/03/2021;3;0.201;R
ES0031300000000000ED;05/03/2021;4;0.228;R
ES0031300000000000ED;05/03/2021;5;0.535;R
ES0031300000000000ED;05/03/2021;6;0.243;R
ES0031300000000000ED;05/03/2021;7;0.296;R
ES0031300000000000ED;05/03/2021;8;0.31;R
ES0031300000000000ED;05/03/2021;9;0.306;R
ES0031300000000000ED;05/03/2021;10;0.502;R
ES0031300000000000ED;05/03/2021;11;1.204;R
ES0031300000000000ED;05/03/2021;12;2.875;R
ES0031300000000000ED;05/03/2021;13;1.207;R
ES0031300000000000ED;05/03/2021;14;0.1;R
ES0031300000000000ED;05/03/2021;15;0.046;R
ES0031300000000000ED;05/03/2021;16;0.278;R
ES0031300000000000ED;05/03/2021;17;0.223;R
ES0031300000000000ED;05/03/2021;18;0.167;R
ES0031300000000000ED;05/03/2021;19;0.097;R
ES0031300000000000ED;05/03/2021;20;0.116;R
ES0031300000000000ED;05/03/2021;21;0.196;R
ES0031300000000000ED;05/03/2021;22;0.146;R
ES0031300000000000ED;05/03/2021;23;0.424;R
ES0031300000000000ED;05/03/2021;24;0.478;R
ES0031300000000000ED;06/03/2021;1;0.174;R
ES0031300000000000ED;06/03/2021;2;0.296;R
ES0031300000000000ED;06/03/2021;3;0.843;R
ES0031300000000000ED;06/03/2021;4;0.679;R
ES0031300000000000ED;06/03/2021;5;0.748;R
ES0031300000000000ED;06/03/2021;6;0.718;R
ES0031300000000000ED;06/03/2021;7;0.713;R
ES0031300000000000ED;06/03/2021;8;0.782;R
ES0031300000000000ED;06/03/2021;9;0.973;R
ES0031300000000000ED;06/03/2021;10;0.855;R
ES0031300000000000ED;06/03/2021;11;1.08;R
ES0031300000000000ED;06/03/2021;12;1.009;R
ES0031300000000000ED;06/03/2021;13;0.24;R
ES0031300000000000ED;06/03/2021;14;0.119;R
ES0031300000000000ED;06/03/2021;15;0.836;R
ES0031300000000000ED;06/03/2021;16;0.346;R
ES0031300000000000ED;06/03/2021;17;0.605;R
ES0031300000000000ED;06/03/2021;18;0.508;R
