CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/03/2021;1;0.085;R
ES0031300000000001EX;01/03/2021;2;0.067;R
ES0031300000000001EX;01/03/2021;3;0.045;R
ES0031300000000001EX;01/03/2021;4;0.047;R
ES0031300000000001EX;01/03/2021;5;0.047;R
ES0031300000000001EX;01/03/2021;6;0.041;R
ES0031300000000001EX;01/03/2021;7;0.046;R
ES0031300000000001EX;01/03/2021;8;0.047;R
ES0031300000000001EX;01/03/2021;9;0.193;R
ES0031300000000001EX;01/03/2021;10;0.249;R
ES0031300000000001EX;01/03/2021;11;0.066;R
ES0031300000000001EX;01/03/2021;12;0.057;R
ES0031300000000001EX;01/03/2021;13;0.062;R
ES0031300000000001EX;01/03/2021;14;0.062;R
ES0031300000000001EX;01/03/2021;15;0.801;R
ES0031300000000001EX;01/03/2021;16;0.196;R
ES0031300000000001EX;01/03/2021;17;0.18;R
ES0031300000000001EX;01/03/2021;18;0.079;R
ES0031300000000001EX;01/03/2021;19;0.075;R
ES0031300000000001EX;01/03/2021;20;0.083;R
ES0031300000000001EX;01/03/2021;21;0.142;R
ES0031300000000001EX;01/03/2021;22;0.27;R
ES0031300000000001EX;01/03/2021;23;0.205;R
ES0031300000000001EX;01/03/2021;24;0.206;R
ES0031300000000001EX;02/03/2021;1;0.061;R
ES0031300000000001EX;02/03/2021;2;0.049;R
ES0031300000000001EX;02/03/2021;3;0.045;R
ES0031300000000001EX;02/03/2021;4;0.043;R
ES0031300000000001EX;02/03/2021;5;0.045;R
ES0031300000000001EX;02/03/2021;6;0.048;R
ES0031300000000001EX;02/03/2021;7;0.044;R
ES0031300000000001EX;02/03/2021;8;0.052;R
ES0031300000000001EX;02/03/2021;9;0.192;R
ES0031300000000001EX;02/03/2021;10;0.169;R
ES0031300000000001EX;02/03/2021;11;0.086;R
ES0031300000000001EX;02/03/2021;12;0.106;R
ES0031300000000001EX;02/03/2021;13;0.106;R
ES0031300000000001EX;02/03/2021;14;0.149;R
ES0031300000000001EX;02/03/2021;15;0.526;R
ES0031300000000001EX;02/03/2021;16;0.092;R
ES0031300000000001EX;02/03/2021;17;0.061;R
ES0031300000000001EX;02/03/2021;18;0.066;R
ES0031300000000001EX;02/03/2021;19;0.235;R
ES0031300000000001EX;02/03/2021;20;0.294;R
ES0031300000000001EX;02/03/2021;21;0.287;R
ES0031300000000001EX;02/03/2021;22;0.271;R
ES0031300000000001EX;02/03/2021;23;0.237;R
ES0031300000000001EX;02/03/2021;24;0.205;R
ES0031300000000001EX;03/03/2021;1;0.06;R
ES0031300000000001EX;03/03/2021;2;0.063;R
ES0031300000000001EX;03/03/2021;3;0.048;R
ES0031300000000001EX;03/03/2021;4;0.049;R
ES0031300000000001EX;03/03/2021;5;0.05;R
ES0031300000000001EX;03/03/2021;6;0.048;R
ES0031300000000001EX;03/03/2021;7;0.049;R
