CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/07/2021;1;0.087;R
ES0031300000000000ED;01/07/2021;2;0.134;R
ES0031300000000000ED;01/07/2021;3;0.062;R
ES0031300000000000ED;01/07/2021;4;0.104;R
ES0031300000000000ED;01/07/2021;5;0.087;R
ES0031300000000000ED;01/07/2021;6;0.056;R
ES0031300000000000ED;01/07/2021;7;0.133;R
ES0031300000000000ED;01/07/2021;8;0.281;R
ES0031300000000000ED;01/07/2021;9;0.244;R
ES0031300000000000ED;01/07/2021;10;1.107;R
ES0031300000000000ED;01/07/2021;11;0.231;R
ES0031300000000000ED;01/07/2021;12;1.132;R
ES0031300000000000ED;01/07/2021;13;0.125;R
ES0031300000000000ED;01/07/2021;14;0.753;R
ES0031300000000000ED;01/07/2021;15;0.492;R
ES0031300000000000ED;01/07/2021;16;0.309;R
ES0031300000000000ED;01/07/2021;17;0.111;R
ES0031300000000000ED;01/07/2021;18;0.176;R
ES0031300000000000ED;01/07/2021;19;0.128;R
ES0031300000000000ED;01/07/2021;20;0.141;R
ES0031300000000000ED;01/07/2021;21;0.129;R
ES0031300000000000ED;01/07/2021;22;0.254;R
ES0031300000000000ED;01/07/2021;23;0.543;R
ES0031300000000000ED;01/07/2021;24;0.244;R
ES0031300000000000ED;02/07/2021;1;0.122;R
ES0031300000000000ED;02/07/2021;2;0.078;R
ES0031300000000000ED;02/07/2021;3;0.083;R
ES0031300000000000ED;02/07/2021;4;0.106;R
ES0031300000000000ED;02/07/2021;5;0.048;R
ES0031300000000000ED;02/07/2021;6;0.11;R
ES0031300000000000ED;02/07/2021;7;0.069;R
ES0031300000000000ED;02/07/2021;8;0.087;R
ES0031300000000000ED;02/07/2021;9;0.436;R
ES0031300000000000ED;02/07/2021;10;0.35;R
ES0031300000000000ED;02/07/2021;11;0.324;R
ES0031300000000000ED;02/07/2021;12;0.76;R
ES0031300000000000ED;02/07/2021;13;0.184;R
ES0031300000000000ED;02/07/2021;14;0.17;R
ES0031300000000000ED;02/07/2021;15;0.292;R
ES0031300000000000ED;02/07/2021;16;0.181;R
ES0031300000000000ED;02/07/2021;17;0.181;R
ES0031300000000000ED;02/07/2021;18;0.169;R
ES0031300000000000ED;02/07/2021;19;0.105;R
ES0031300000000000ED;02/07/2021;20;0.618;R
ES0031300000000000ED;02/07/2021;21;0.158;R
ES0031300000000000ED;02/07/2021;22;0.163;R
ES0031300000000000ED;02/07/2021;23;0.327;R
ES0031300000000000ED;02/07/2021;24;0.327;R
ES0031300000000000ED;03/07/2021;1;0.146;R
ES0031300000000000ED;03/07/2021;2;0.077;R
ES0031300000000000ED;03/07/2021;3;0.089;R
ES0031300000000000ED;03/07/2021;4;0.093;R
ES0031300000000000ED;03/07/2021;5;0.086;R
ES0031300000000000ED;03/07/2021;6;0.067;R
ES0031300000000000ED;03/07/2021;7;0.076;R
ES0031300000000000ED;03/07/2021;8;0.101;R
ES0031300000000000ED;03/07/2021;9;0.385;R
ES0031300000000000ED;03/07/2021;10;0.957;R
ES0031300000000000ED;03/07/2021;11;0.728;R
ES0031300000000000ED;03/07/2021;12;0.099;R
ES0031300000000000ED;03/07/2021;13;0.139;R
ES0031300000000000ED;03/07/2021;14;0.147;R
ES0031300000000000ED;03/07/2021;15;0.515;R
ES0031300000000000ED;03/07/2021;16;0.245;R
ES0031300000000000ED;03/07/2021;17;0.133;R
ES0031300000000000ED;03/07/2021;18;0.13;R
ES0031300000000000ED;03/07/2021;19;0.1;R
ES0031300000000000ED;03/07/2021;20;0.097;R
ES0031300000000000ED;03/07/2021;21;0.123;R
ES0031300000000000ED;03/07/2021;22;0.275;R
ES0031300000000000ED;03/07/2021;23;0.326;R
ES0031300000000000ED;03/07/2021;24;0.507;R
ES0031300000000000ED;04/07/2021;1;0.152;R
ES0031300000000000ED;04/07/2021;2;0.078;R
ES0031300000000000ED;04/07/2021;3;0.071;R
ES0031300000000000ED;04/07/2021;4;0.076;R
ES0031300000000000ED;04/07/2021;5;0.09;R
ES0031300000000000ED;04/07/2021;6;0.084;R
ES0031300000000000ED;04/07/2021;7;0.08;R
ES0031300000000000ED;04/07/2021;8;0.059;R
ES0031300000000000ED;04/07/2021;9;0.249;R
ES0031300000000000ED;04/07/2021;10;1.372;R
ES0031300000000000ED;04/07/2021;11;0.298;R
ES0031300000000000ED;04/07/2021;12;1.682;R
ES0031300000000000ED;04/07/2021;13;0.688;R
ES0031300000000000ED;04/07/2021;14;0.242;R
ES0031300000000000ED;04/07/2021;15;0.246;R
ES0031300000000000ED;04/07/2021;16;0.269;R
ES0031300000000000ED;04/07/2021;17;0.257;R
ES0031300000000000ED;04/07/2021;18;0.226;R
ES0031300000000000ED;04/07/2021;19;0.198;R
ES0031300000000000ED;04/07/2021;20;0.124;R
ES0031300000000000ED;04/07/2021;21;1.016;R
ES0031300000000000ED;04/07/2021;22;0.125;R
ES0031300000000000ED;04/07/2021;23;0.14;R
