CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;05/07/2021;11;0.131;R
ES0031300000000001EX;05/07/2021;12;0.118;R
ES0031300000000001EX;05/07/2021;13;0.082;R
ES0031300000000001EX;05/07/2021;14;0.544;R
ES0031300000000001EX;05/07/2021;15;0.257;R
ES0031300000000001EX;05/07/2021;16;0.176;R
ES0031300000000001EX;05/07/2021;17;0.098;R
ES0031300000000001EX;05/07/2021;18;0.099;R
ES0031300000000001EX;05/07/2021;19;0.102;R
ES0031300000000001EX;05/07/2021;20;0.105;R
ES0031300000000001EX;05/07/2021;21;0.079;R
ES0031300000000001EX;05/07/2021;22;0.1;R
ES0031300000000001EX;05/07/2021;23;0.232;R
ES0031300000000001EX;05/07/2021;24;0.302;R
ES0031300000000001EX;06/07/2021;1;0.109;R
ES0031300000000001EX;06/07/2021;2;0.089;R
ES0031300000000001EX;06/07/2021;3;0.107;R
ES0031300000000001EX;06/07/2021;4;0.09;R
ES0031300000000001EX;06/07/2021;5;0.072;R
ES0031300000000001EX;06/07/2021;6;0.079;R
ES0031300000000001EX;06/07/2021;7;0.075;R
ES0031300000000001EX;06/07/2021;8;0.065;R
ES0031300000000001EX;06/07/2021;9;0.24;R
ES0031300000000001EX;06/07/2021;10;0.074;R
ES0031300000000001EX;06/07/2021;11;0.07;R
ES0031300000000001EX;06/07/2021;12;0.069;R
ES0031300000000001EX;06/07/2021;13;0.069;R
ES0031300000000001EX;06/07/2021;14;0.06;R
ES0031300000000001EX;06/07/2021;15;0.057;R
ES0031300000000001EX;06/07/2021;16;0.059;R
ES0031300000000001EX;06/07/2021;17;0.058;R
ES0031300000000001EX;06/07/2021;18;0.146;R
ES0031300000000001EX;06/07/2021;19;0.243;R
ES0031300000000001EX;06/07/2021;20;0.217;R
ES0031300000000001EX;06/07/2021;21;0.06;R
ES0031300000000001EX;06/07/2021;22;0.097;R
ES0031300000000001EX;06/07/2021;23;0.21;R
ES0031300000000001EX;06/07/2021;24;0.211;R
ES0031300000000001EX;07/07/2021;1;0.165;R
ES0031300000000001EX;07/07/2021;2;0.065;R
ES0031300000000001EX;07/07/2021;3;0.079;R
ES0031300000000001EX;07/07/2021;4;0.067;R
ES0031300000000001EX;07/07/2021;5;0.06;R
ES0031300000000001EX;07/07/2021;6;0.051;R
ES0031300000000001EX;07/07/2021;7;0.051;R
ES0031300000000001EX;07/07/2021;8;0.053;R
ES0031300000000001EX;07/07/2021;9;0.141;R
ES0031300000000001EX;07/07/2021;10;0.284;R
ES0031300000000001EX;07/07/2021;11;0.176;R
ES0031300000000001EX;07/07/2021;12;0.08;R
ES0031300000000001EX;07/07/2021;13;0.062;R
ES0031300000000001EX;07/07/2021;14;0.061;R
ES0031300000000001EX;07/07/2021;15;0.425;R
ES0031300000000001EX;07/07/2021;16;0.18;R
ES0031300000000001EX;07/07/2021;17;0.071;R
ES0031300000000001EX;07/07/2021;18;0.07;R
ES0031300000000001EX;07/07/2021;19;0.073;R
ES0031300000000001EX;07/07/2021;20;0.069;R
ES0031300000000001EX;07/07/2021;21;0.068;R
ES0031300000000001EX;07/07/2021;22;0.28;R
ES0031300000000001EX;07/07/2021;23;0.228;R
ES0031300000000001EX;07/07/2021;24;0.224;R
ES0031300000000001EX;08/07/2021;1;0.143;R
ES0031300000000001EX;08/07/2021;2;0.117;R
ES0031300000000001EX;08/07/2021;3;0.065;R
ES0031300000000001EX;08/07/2021;4;0.057;R
ES0031300000000001EX;08/07/2021;5;0.062;R
ES0031300000000001EX;08/07/2021;6;0.06;R
ES0031300000000001EX;08/07/2021;7;0.06;R
ES0031300000000001EX;08/07/2021;8;0.058;R
ES0031300000000001EX;08/07/2021;9;0.176;R
ES0031300000000001EX;08/07/2021;10;0.136;R
ES0031300000000001EX;08/07/2021;11;0.102;R
ES0031300000000001EX;08/07/2021;12;0.088;R
ES0031300000000001EX;08/07/2021;13;0.076;R
ES0031300000000001EX;08/07/2021;14;0.256;R
ES0031300000000001EX;08/07/2021;15;0.946;R
ES0031300000000001EX;08/07/2021;16;0.114;R
ES0031300000000001EX;08/07/2021;17;0.072;R
ES0031300000000001EX;08/07/2021;18;0.077;R
ES0031300000000001EX;08/07/2021;19;0.119;R
ES0031300000000001EX;08/07/2021;20;0.09;R
ES0031300000000001EX;08/07/2021;21;0.083;R
ES0031300000000001EX;08/07/2021;22;0.126;R
ES0031300000000001EX;08/07/2021;23;0.22;R
ES0031300000000001EX;08/07/2021;24;0.223;R
ES0031300000000001EX;09/07/2021;1;0.119;R
ES0031300000000001EX;09/07/2021;2;0.064;R
ES0031300000000001EX;09/07/2021;3;0.057;R
ES0031300000000001EX;09/07/2021;4;0.059;R
ES0031300000000001EX;09/07/2021;5;0.062;R
ES0031300000000001EX;09/07/2021;6;0.061;R
ES0031300000000001EX;09/07/2021;7;0.061;R
ES0031300000000001EX;09/07/2021;8;0.059;R
ES0031300000000001EX;09/07/2021;9;0.121;R
ES0031300000000001EX;09/07/2021;10;0.382;R
ES0031300000000001EX;09/07/2021;11;0.184;R
ES0031300000000001EX;09/07/2021;12;0.091;R
ES0031300000000001EX;09/07/2021;13;0.089;R
ES0031300000000001EX;09/07/2021;14;0.475;R
ES0031300000000001EX;09/07/2021;15;0.763;R
ES0031300000000001EX;09/07/2021;16;0.687;R
ES0031300000000001EX;09/07/2021;17;0.111;R
ES0031300000000001EX;09/07/2021;18;0.083;R
ES0031300000000001EX;09/07/2021;19;0.09;R
ES0031300000000001EX;09/07/2021;20;0.085;R
ES0031300000000001EX;09/07/2021;21;0.227;R
ES0031300000000001EX;09/07/2021;22;0.168;R
ES0031300000000001EX;09/07/2021;23;0.378;R
ES0031300000000001EX;09/07/2021;24;0.205;R
ES0031300000000001EX;10/07/2021;1;0.084;R
ES0031300000000001EX;10/07/2021;2;0.07;R
ES0031300000000001EX;10/07/2021;3;0.063;R
ES0031300000000001EX;10/07/2021;4;0.065;R
ES0031300000000001EX;10/07/2021;5;0.069;R
ES0031300000000001EX;10/07/2021;6;0.069;R
ES0031300000000001EX;10/07/2021;7;0.068;R
ES0031300000000001EX;10/07/2021;8;0.064;R
ES0031300000000001EX;10/07/2021;9;0.091;R
ES0031300000000001EX;10/07/2021;10;0.573;R
ES0031300000000001EX;10/07/2021;11;0.331;R
ES0031300000000001EX;10/07/2021;12;0.117;R
ES0031300000000001EX;10/07/2021;13;0.073;R
ES0031300000000001EX;10/07/2021;14;0.066;R
ES0031300000000001EX;10/07/2021;15;0.64;R
ES0031300000000001EX;10/07/2021;16;0.213;R
ES0031300000000001EX;10/07/2021;17;0.28;R
ES0031300000000001EX;10/07/2021;18;0.264;R
ES0031300000000001EX;10/07/2021;19;0.229;R
ES0031300000000001EX;10/07/2021;20;0.23;R
ES0031300000000001EX;10/07/2021;21;0.23;R
ES0031300000000001EX;10/07/2021;22;0.281;R
