CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/01/2021;1;0.022;R
ES0031300000000000ED;01/01/2021;2;0.067;R
ES0031300000000000ED;01/01/2021;3;0.022;R
ES0031300000000000ED;01/01/2021;4;0.067;R
ES0031300000000000ED;01/01/2021;5;0.023;R
ES0031300000000000ED;01/01/2021;6;0.048;R
ES0031300000000000ED;01/01/2021;7;0.041;R
ES0031300000000000ED;01/01/2021;8;0.023;R
ES0031300000000000ED;01/01/2021;9;0.066;R
ES0031300000000000ED;01/01/2021;10;0.023;R
ES0031300000000000ED;01/01/2021;11;0.066;R
ES0031300000000000ED;01/01/2021;12;0.023;R
ES0031300000000000ED;01/01/2021;13;0.033;R
ES0031300000000000ED;01/01/2021;14;0.112;R
ES0031300000000000ED;01/01/2021;15;0.022;R
ES0031300000000000ED;01/01/2021;16;0.074;R
ES0031300000000000ED;01/01/2021;17;0.023;R
ES0031300000000000ED;01/01/2021;18;0.056;R
ES0031300000000000ED;01/01/2021;19;0.036;R
ES0031300000000000ED;01/01/2021;20;0.023;R
ES0031300000000000ED;01/01/2021;21;0.067;R
ES0031300000000000ED;01/01/2021;22;0.022;R
ES0031300000000000ED;01/01/2021;23;0.067;R
ES0031300000000000ED;01/01/2021;24;0.023;R
ES0031300000000000ED;02/01/2021;1;0.036;R
ES0031300000000000ED;02/01/2021;2;0.054;R
ES0031300000000000ED;02/01/2021;3;0.022;R
ES0031300000000000ED;02/01/2021;4;0.067;R
ES0031300000000000ED;02/01/2021;5;0.022;R
ES0031300000000000ED;02/01/2021;6;0.047;R
ES0031300000000000ED;02/01/2021;7;0.042;R
ES0031300000000000ED;02/01/2021;8;0.023;R
ES0031300000000000ED;02/01/2021;9;0.066;R
ES0031300000000000ED;02/01/2021;10;0.023;R
ES0031300000000000ED;02/01/2021;11;0.051;R
ES0031300000000000ED;02/01/2021;12;0.037;R
ES0031300000000000ED;02/01/2021;13;0.023;R
ES0031300000000000ED;02/01/2021;14;0.066;R
ES0031300000000000ED;02/01/2021;15;0.023;R
ES0031300000000000ED;02/01/2021;16;0.049;R
ES0031300000000000ED;02/01/2021;17;0.04;R
ES0031300000000000ED;02/01/2021;18;0.022;R
ES0031300000000000ED;02/01/2021;19;0.067;R
ES0031300000000000ED;02/01/2021;20;0.022;R
ES0031300000000000ED;02/01/2021;21;0.045;R
ES0031300000000000ED;02/01/2021;22;0.043;R
ES0031300000000000ED;02/01/2021;23;0.023;R
ES0031300000000000ED;02/01/2021;24;0.066;R
ES0031300000000000ED;03/01/2021;1;0.023;R
ES0031300000000000ED;03/01/2021;2;0.041;R
ES0031300000000000ED;03/01/2021;3;0.048;R
ES0031300000000000ED;03/01/2021;4;0.023;R
ES0031300000000000ED;03/01/2021;5;0.066;R
ES0031300000000000ED;03/01/2021;6;0.022;R
ES0031300000000000ED;03/01/2021;7;0.036;R
ES0031300000000000ED;03/01/2021;8;0.053;R
ES0031300000000000ED;03/01/2021;9;0.023;R
ES0031300000000000ED;03/01/2021;10;0.066;R
ES0031300000000000ED;03/01/2021;11;0.023;R
ES0031300000000000ED;03/01/2021;12;0.032;R
ES0031300000000000ED;03/01/2021;13;0.057;R
ES0031300000000000ED;03/01/2021;14;0.022;R
ES0031300000000000ED;03/01/2021;15;0.102;R
ES0031300000000000ED;03/01/2021;16;0.06;R
ES0031300000000000ED;03/01/2021;17;0.022;R
ES0031300000000000ED;03/01/2021;18;0.07;R
ES0031300000000000ED;03/01/2021;19;0.023;R
ES0031300000000000ED;03/01/2021;20;0.054;R
ES0031300000000000ED;03/01/2021;21;0.036;R
ES0031300000000000ED;03/01/2021;22;0.022;R
ES0031300000000000ED;03/01/2021;23;0.067;R
ES0031300000000000ED;03/01/2021;24;0.022;R
ES0031300000000000ED;04/01/2021;1;0.059;R
ES0031300000000000ED;04/01/2021;2;0.03;R
ES0031300000000000ED;04/01/2021;3;0.023;R
ES0031300000000000ED;04/01/2021;4;0.067;R
ES0031300000000000ED;04/01/2021;5;0.022;R
ES0031300000000000ED;04/01/2021;6;0.061;R
ES0031300000000000ED;04/01/2021;7;0.033;R
ES0031300000000000ED;04/01/2021;8;4.234;R
ES0031300000000000ED;04/01/2021;9;4.27;R
ES0031300000000000ED;04/01/2021;10;2.772;R
ES0031300000000000ED;04/01/2021;11;4.13;R
ES0031300000000000ED;04/01/2021;12;4.024;R
ES0031300000000000ED;04/01/2021;13;1.722;R
ES0031300000000000ED;04/01/2021;14;2.611;R
ES0031300000000000ED;04/01/2021;15;2.647;R
ES0031300000000000ED;04/01/2021;16;1.955;R
ES0031300000000000ED;04/01/2021;17;2.069;R
ES0031300000000000ED;04/01/2021;18;1.894;R
ES0031300000000000ED;04/01/2021;19;1.83;R
ES0031300000000000ED;04/01/2021;20;2.338;R
ES0031300000000000ED;04/01/2021;21;1.815;R
ES0031300000000000ED;04/01/2021;22;2.164;R
ES0031300000000000ED;04/01/2021;23;1.657;R
ES0031300000000000ED;04/01/2021;24;2.103;R
ES0031300000000000ED;05/01/2021;1;1.328;R
ES0031300000000000ED;05/01/2021;2;1.045;R
ES0031300000000000ED;05/01/2021;3;1.131;R
ES0031300000000000ED;05/01/2021;4;1.414;R
ES0031300000000000ED;05/01/2021;5;1.124;R
ES0031300000000000ED;05/01/2021;6;1.31;R
ES0031300000000000ED;05/01/2021;7;1.315;R
ES0031300000000000ED;05/01/2021;8;1.209;R
ES0031300000000000ED;05/01/2021;9;1.475;R
ES0031300000000000ED;05/01/2021;10;1.606;R
ES0031300000000000ED;05/01/2021;11;1.681;R
ES0031300000000000ED;05/01/2021;12;3.344;R
ES0031300000000000ED;05/01/2021;13;0.822;R
ES0031300000000000ED;05/01/2021;14;0.808;R
ES0031300000000000ED;05/01/2021;15;0.774;R
ES0031300000000000ED;05/01/2021;16;0.743;R
ES0031300000000000ED;05/01/2021;17;1.643;R
ES0031300000000000ED;05/01/2021;18;1.955;R
ES0031300000000000ED;05/01/2021;19;1.652;R
ES0031300000000000ED;05/01/2021;20;1.674;R
ES0031300000000000ED;05/01/2021;21;1.827;R
ES0031300000000000ED;05/01/2021;22;1.688;R
ES0031300000000000ED;05/01/2021;23;1.604;R
ES0031300000000000ED;05/01/2021;24;1.871;R
ES0031300000000000ED;06/01/2021;1;0.872;R
ES0031300000000000ED;06/01/2021;2;0.772;R
ES0031300000000000ED;06/01/2021;3;0.76;R
ES0031300000000000ED;06/01/2021;4;0.792;R
ES0031300000000000ED;06/01/2021;5;0.813;R
ES0031300000000000ED;06/01/2021;6;0.822;R
ES0031300000000000ED;06/01/2021;7;0.831;R
ES0031300000000000ED;06/01/2021;8;1.114;R
ES0031300000000000ED;06/01/2021;9;0.815;R
ES0031300000000000ED;06/01/2021;10;1.707;R
ES0031300000000000ED;06/01/2021;11;2.422;R
ES0031300000000000ED;06/01/2021;12;1.873;R
ES0031300000000000ED;06/01/2021;13;0.392;R
ES0031300000000000ED;06/01/2021;14;0.401;R
ES0031300000000000ED;06/01/2021;15;0.447;R
ES0031300000000000ED;06/01/2021;16;0.416;R
ES0031300000000000ED;06/01/2021;17;0.444;R
ES0031300000000000ED;06/01/2021;18;0.399;R
ES0031300000000000ED;06/01/2021;19;0.45;R
ES0031300000000000ED;06/01/2021;20;0.588;R
ES0031300000000000ED;06/01/2021;21;2.63;R
ES0031300000000000ED;06/01/2021;22;2.349;R
ES0031300000000000ED;06/01/2021;23;2.017;R
ES0031300000000000ED;06/01/2021;24;2.266;R
