CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/09/2021;1;0.07;R
ES0031300000000001EX;01/09/2021;2;0.066;R
ES0031300000000001EX;01/09/2021;3;0.062;R
ES0031300000000001EX;01/09/2021;4;0.051;R
ES0031300000000001EX;01/09/2021;5;0.055;R
ES0031300000000001EX;01/09/2021;6;0.086;R
ES0031300000000001EX;01/09/2021;7;0.086;R
ES0031300000000001EX;01/09/2021;8;0.058;R
ES0031300000000001EX;01/09/2021;9;0.142;R
ES0031300000000001EX;01/09/2021;10;0.226;R
ES0031300000000001EX;01/09/2021;11;0.11;R
ES0031300000000001EX;01/09/2021;12;0.075;R
ES0031300000000001EX;01/09/2021;13;0.119;R
ES0031300000000001EX;01/09/2021;14;0.098;R
ES0031300000000001EX;01/09/2021;15;0.466;R
ES0031300000000001EX;01/09/2021;16;0.192;R
ES0031300000000001EX;01/09/2021;17;0.103;R
ES0031300000000001EX;01/09/2021;18;0.123;R
ES0031300000000001EX;01/09/2021;19;0.082;R
ES0031300000000001EX;01/09/2021;20;0.079;R
ES0031300000000001EX;01/09/2021;21;0.079;R
ES0031300000000001EX;01/09/2021;22;0.209;R
ES0031300000000001EX;01/09/2021;23;0.256;R
ES0031300000000001EX;01/09/2021;24;0.248;R
ES0031300000000001EX;02/09/2021;1;0.225;R
ES0031300000000001EX;02/09/2021;2;0.097;R
ES0031300000000001EX;02/09/2021;3;0.069;R
ES0031300000000001EX;02/09/2021;4;0.072;R
ES0031300000000001EX;02/09/2021;5;0.067;R
ES0031300000000001EX;02/09/2021;6;0.074;R
ES0031300000000001EX;02/09/2021;7;0.068;R
ES0031300000000001EX;02/09/2021;8;0.105;R
ES0031300000000001EX;02/09/2021;9;0.264;R
ES0031300000000001EX;02/09/2021;10;0.152;R
ES0031300000000001EX;02/09/2021;11;0.079;R
ES0031300000000001EX;02/09/2021;12;0.083;R
ES0031300000000001EX;02/09/2021;13;0.083;R
ES0031300000000001EX;02/09/2021;14;0.084;R
ES0031300000000001EX;02/09/2021;15;0.186;R
ES0031300000000001EX;02/09/2021;16;0.089;R
ES0031300000000001EX;02/09/2021;17;0.086;R
ES0031300000000001EX;02/09/2021;18;0.139;R
ES0031300000000001EX;02/09/2021;19;0.105;R
ES0031300000000001EX;02/09/2021;20;0.087;R
ES0031300000000001EX;02/09/2021;21;0.092;R
ES0031300000000001EX;02/09/2021;22;0.21;R
ES0031300000000001EX;02/09/2021;23;0.466;R
ES0031300000000001EX;02/09/2021;24;0.772;R
ES0031300000000001EX;03/09/2021;1;0.068;R
ES0031300000000001EX;03/09/2021;2;0.061;R
ES0031300000000001EX;03/09/2021;3;0.054;R
ES0031300000000001EX;03/09/2021;4;0.06;R
ES0031300000000001EX;03/09/2021;5;0.06;R
ES0031300000000001EX;03/09/2021;6;0.06;R
ES0031300000000001EX;03/09/2021;7;0.06;R
ES0031300000000001EX;03/09/2021;8;0.054;R
ES0031300000000001EX;03/09/2021;9;0.272;R
ES0031300000000001EX;03/09/2021;10;0.188;R
ES0031300000000001EX;03/09/2021;11;0.084;R
ES0031300000000001EX;03/09/2021;12;0.085;R
ES0031300000000001EX;03/09/2021;13;0.08;R
ES0031300000000001EX;03/09/2021;14;0.15;R
ES0031300000000001EX;03/09/2021;15;0.559;R
ES0031300000000001EX;03/09/2021;16;0.217;R
ES0031300000000001EX;03/09/2021;17;0.105;R
ES0031300000000001EX;03/09/2021;18;0.087;R
ES0031300000000001EX;03/09/2021;19;0.085;R
ES0031300000000001EX;03/09/2021;20;0.14;R
ES0031300000000001EX;03/09/2021;21;0.138;R
ES0031300000000001EX;03/09/2021;22;0.616;R
ES0031300000000001EX;03/09/2021;23;0.174;R
ES0031300000000001EX;03/09/2021;24;0.069;R
ES0031300000000001EX;04/09/2021;1;0.059;R
ES0031300000000001EX;04/09/2021;2;0.059;R
ES0031300000000001EX;04/09/2021;3;0.051;R
ES0031300000000001EX;04/09/2021;4;0.055;R
ES0031300000000001EX;04/09/2021;5;0.055;R
ES0031300000000001EX;04/09/2021;6;0.05;R
ES0031300000000001EX;04/09/2021;7;0.054;R
ES0031300000000001EX;04/09/2021;8;0.215;R
ES0031300000000001EX;04/09/2021;9;0.444;R
ES0031300000000001EX;04/09/2021;10;0.151;R
ES0031300000000001EX;04/09/2021;11;0.089;R
ES0031300000000001EX;04/09/2021;12;0.051;R
ES0031300000000001EX;04/09/2021;13;0.053;R
ES0031300000000001EX;04/09/2021;14;0.171;R
ES0031300000000001EX;04/09/2021;15;0.351;R
ES0031300000000001EX;04/09/2021;16;0.242;R
ES0031300000000001EX;04/09/2021;17;0.227;R
ES0031300000000001EX;04/09/2021;18;0.224;R
ES0031300000000001EX;04/09/2021;19;0.174;R
ES0031300000000001EX;04/09/2021;20;0.08;R
ES0031300000000001EX;04/09/2021;21;0.071;R
ES0031300000000001EX;04/09/2021;22;0.305;R
ES0031300000000001EX;04/09/2021;23;0.242;R
ES0031300000000001EX;04/09/2021;24;0.235;R
ES0031300000000001EX;05/09/2021;1;0.132;R
ES0031300000000001EX;05/09/2021;2;0.059;R
ES0031300000000001EX;05/09/2021;3;0.056;R
ES0031300000000001EX;05/09/2021;4;0.06;R
ES0031300000000001EX;05/09/2021;5;0.053;R
ES0031300000000001EX;05/09/2021;6;0.064;R
ES0031300000000001EX;05/09/2021;7;0.053;R
ES0031300000000001EX;05/09/2021;8;0.054;R
ES0031300000000001EX;05/09/2021;9;0.061;R
ES0031300000000001EX;05/09/2021;10;0.198;R
ES0031300000000001EX;05/09/2021;11;0.671;R
ES0031300000000001EX;05/09/2021;12;0.207;R
ES0031300000000001EX;05/09/2021;13;0.324;R
ES0031300000000001EX;05/09/2021;14;0.055;R
ES0031300000000001EX;05/09/2021;15;0.053;R
ES0031300000000001EX;05/09/2021;16;0.051;R
ES0031300000000001EX;05/09/2021;17;0.056;R
ES0031300000000001EX;05/09/2021;18;0.053;R
ES0031300000000001EX;05/09/2021;19;0.054;R
ES0031300000000001EX;05/09/2021;20;0.058;R
ES0031300000000001EX;05/09/2021;21;0.089;R
ES0031300000000001EX;05/09/2021;22;0.105;R
ES0031300000000001EX;05/09/2021;23;0.148;R
ES0031300000000001EX;05/09/2021;24;0.092;R
ES0031300000000001EX;06/09/2021;1;0.144;R
ES0031300000000001EX;06/09/2021;2;0.096;R
ES0031300000000001EX;06/09/2021;3;0.082;R
ES0031300000000001EX;06/09/2021;4;0.069;R
ES0031300000000001EX;06/09/2021;5;0.066;R
ES0031300000000001EX;06/09/2021;6;0.066;R
ES0031300000000001EX;06/09/2021;7;0.067;R
ES0031300000000001EX;06/09/2021;8;0.061;R
ES0031300000000001EX;06/09/2021;9;0.181;R
ES0031300000000001EX;06/09/2021;10;0.219;R
ES0031300000000001EX;06/09/2021;11;0.099;R
ES0031300000000001EX;06/09/2021;12;0.082;R
ES0031300000000001EX;06/09/2021;13;0.087;R
ES0031300000000001EX;06/09/2021;14;0.21;R
ES0031300000000001EX;06/09/2021;15;0.291;R
ES0031300000000001EX;06/09/2021;16;0.214;R
ES0031300000000001EX;06/09/2021;17;0.111;R
ES0031300000000001EX;06/09/2021;18;0.082;R
ES0031300000000001EX;06/09/2021;19;0.077;R
ES0031300000000001EX;06/09/2021;20;0.189;R
ES0031300000000001EX;06/09/2021;21;0.086;R
ES0031300000000001EX;06/09/2021;22;0.197;R
ES0031300000000001EX;06/09/2021;23;0.244;R
ES0031300000000001EX;06/09/2021;24;0.183;R
ES0031300000000001EX;07/09/2021;1;0.067;R
ES0031300000000001EX;07/09/2021;2;0.068;R
ES0031300000000001EX;07/09/2021;3;0.086;R
ES0031300000000001EX;07/09/2021;4;0.072;R
ES0031300000000001EX;07/09/2021;5;0.062;R
ES0031300000000001EX;07/09/2021;6;0.063;R
ES0031300000000001EX;07/09/2021;7;0.067;R
ES0031300000000001EX;07/09/2021;8;0.055;R
ES0031300000000001EX;07/09/2021;9;0.214;R
ES0031300000000001EX;07/09/2021;10;0.211;R
ES0031300000000001EX;07/09/2021;11;0.115;R
ES0031300000000001EX;07/09/2021;12;0.081;R
ES0031300000000001EX;07/09/2021;13;0.091;R
ES0031300000000001EX;07/09/2021;14;0.082;R
ES0031300000000001EX;07/09/2021;15;0.619;R
ES0031300000000001EX;07/09/2021;16;0.308;R
ES0031300000000001EX;07/09/2021;17;0.317;R
ES0031300000000001EX;07/09/2021;18;0.135;R
ES0031300000000001EX;07/09/2021;19;0.377;R
ES0031300000000001EX;07/09/2021;20;0.301;R
ES0031300000000001EX;07/09/2021;21;0.122;R
ES0031300000000001EX;07/09/2021;22;0.07;R
ES0031300000000001EX;07/09/2021;23;0.221;R
ES0031300000000001EX;07/09/2021;24;0.227;R
ES0031300000000001EX;08/09/2021;1;0.093;R
ES0031300000000001EX;08/09/2021;2;0.089;R
ES0031300000000001EX;08/09/2021;3;0.071;R
ES0031300000000001EX;08/09/2021;4;0.07;R
ES0031300000000001EX;08/09/2021;5;0.07;R
ES0031300000000001EX;08/09/2021;6;0.068;R
ES0031300000000001EX;08/09/2021;7;0.069;R
ES0031300000000001EX;08/09/2021;8;0.622;R
ES0031300000000001EX;08/09/2021;9;0.447;R
ES0031300000000001EX;08/09/2021;10;0.116;R
ES0031300000000001EX;08/09/2021;11;0.079;R
ES0031300000000001EX;08/09/2021;12;0.062;R
ES0031300000000001EX;08/09/2021;13;0.055;R
ES0031300000000001EX;08/09/2021;14;0.057;R
ES0031300000000001EX;08/09/2021;15;0.062;R
ES0031300000000001EX;08/09/2021;16;0.161;R
ES0031300000000001EX;08/09/2021;17;0.067;R
ES0031300000000001EX;08/09/2021;18;0.086;R
ES0031300000000001EX;08/09/2021;19;0.082;R
ES0031300000000001EX;08/09/2021;20;0.066;R
ES0031300000000001EX;08/09/2021;21;0.195;R
ES0031300000000001EX;08/09/2021;22;0.359;R
ES0031300000000001EX;08/09/2021;23;0.249;R
ES0031300000000001EX;08/09/2021;24;0.209;R
ES0031300000000001EX;09/09/2021;1;0.07;R
ES0031300000000001EX;09/09/2021;2;0.072;R
ES0031300000000001EX;09/09/2021;3;0.062;R
ES0031300000000001EX;09/09/2021;4;0.066;R
ES0031300000000001EX;09/09/2021;5;0.064;R
ES0031300000000001EX;09/09/2021;6;0.066;R
ES0031300000000001EX;09/09/2021;7;0.064;R
ES0031300000000001EX;09/09/2021;8;0.059;R
ES0031300000000001EX;09/09/2021;9;0.215;R
ES0031300000000001EX;09/09/2021;10;0.209;R
ES0031300000000001EX;09/09/2021;11;0.157;R
ES0031300000000001EX;09/09/2021;12;0.093;R
ES0031300000000001EX;09/09/2021;13;0.097;R
ES0031300000000001EX;09/09/2021;14;0.082;R
ES0031300000000001EX;09/09/2021;15;0.644;R
ES0031300000000001EX;09/09/2021;16;0.166;R
ES0031300000000001EX;09/09/2021;17;0.09;R
ES0031300000000001EX;09/09/2021;18;0.093;R
ES0031300000000001EX;09/09/2021;19;0.086;R
ES0031300000000001EX;09/09/2021;20;0.094;R
ES0031300000000001EX;09/09/2021;21;0.193;R
ES0031300000000001EX;09/09/2021;22;0.279;R
ES0031300000000001EX;09/09/2021;23;0.257;R
ES0031300000000001EX;09/09/2021;24;0.22;R
ES0031300000000001EX;10/09/2021;1;0.074;R
ES0031300000000001EX;10/09/2021;2;0.06;R
ES0031300000000001EX;10/09/2021;3;0.058;R
ES0031300000000001EX;10/09/2021;4;0.058;R
ES0031300000000001EX;10/09/2021;5;0.061;R
ES0031300000000001EX;10/09/2021;6;0.059;R
ES0031300000000001EX;10/09/2021;7;0.058;R
ES0031300000000001EX;10/09/2021;8;0.051;R
ES0031300000000001EX;10/09/2021;9;0.235;R
ES0031300000000001EX;10/09/2021;10;0.155;R
ES0031300000000001EX;10/09/2021;11;0.106;R
ES0031300000000001EX;10/09/2021;12;0.094;R
ES0031300000000001EX;10/09/2021;13;0.129;R
ES0031300000000001EX;10/09/2021;14;0.099;R
ES0031300000000001EX;10/09/2021;15;0.474;R
ES0031300000000001EX;10/09/2021;16;0.14;R
ES0031300000000001EX;10/09/2021;17;0.089;R
ES0031300000000001EX;10/09/2021;18;0.094;R
ES0031300000000001EX;10/09/2021;19;0.095;R
ES0031300000000001EX;10/09/2021;20;0.083;R
ES0031300000000001EX;10/09/2021;21;0.128;R
ES0031300000000001EX;10/09/2021;22;0.516;R
ES0031300000000001EX;10/09/2021;23;0.241;R
ES0031300000000001EX;10/09/2021;24;0.173;R
ES0031300000000001EX;11/09/2021;1;0.069;R
ES0031300000000001EX;11/09/2021;2;0.062;R
ES0031300000000001EX;11/09/2021;3;0.058;R
ES0031300000000001EX;11/09/2021;4;0.057;R
ES0031300000000001EX;11/09/2021;5;0.055;R
ES0031300000000001EX;11/09/2021;6;0.056;R
ES0031300000000001EX;11/09/2021;7;0.055;R
ES0031300000000001EX;11/09/2021;8;0.049;R
ES0031300000000001EX;11/09/2021;9;0.05;R
ES0031300000000001EX;11/09/2021;10;0.056;R
ES0031300000000001EX;11/09/2021;11;0.273;R
ES0031300000000001EX;11/09/2021;12;0.154;R
ES0031300000000001EX;11/09/2021;13;0.056;R
ES0031300000000001EX;11/09/2021;14;0.113;R
ES0031300000000001EX;11/09/2021;15;0.077;R
ES0031300000000001EX;11/09/2021;16;0.236;R
ES0031300000000001EX;11/09/2021;17;0.205;R
ES0031300000000001EX;11/09/2021;18;0.2;R
ES0031300000000001EX;11/09/2021;19;0.167;R
ES0031300000000001EX;11/09/2021;20;0.094;R
ES0031300000000001EX;11/09/2021;21;0.074;R
ES0031300000000001EX;11/09/2021;22;0.064;R
ES0031300000000001EX;11/09/2021;23;0.07;R
ES0031300000000001EX;11/09/2021;24;0.133;R
ES0031300000000001EX;12/09/2021;1;0.153;R
ES0031300000000001EX;12/09/2021;2;0.091;R
ES0031300000000001EX;12/09/2021;3;0.065;R
ES0031300000000001EX;12/09/2021;4;0.066;R
ES0031300000000001EX;12/09/2021;5;0.068;R
ES0031300000000001EX;12/09/2021;6;0.067;R
ES0031300000000001EX;12/09/2021;7;0.066;R
ES0031300000000001EX;12/09/2021;8;0.06;R
ES0031300000000001EX;12/09/2021;9;0.062;R
ES0031300000000001EX;12/09/2021;10;0.058;R
ES0031300000000001EX;12/09/2021;11;0.164;R
ES0031300000000001EX;12/09/2021;12;0.246;R
ES0031300000000001EX;12/09/2021;13;0.617;R
ES0031300000000001EX;12/09/2021;14;0.712;R
ES0031300000000001EX;12/09/2021;15;0.057;R
ES0031300000000001EX;12/09/2021;16;0.057;R
ES0031300000000001EX;12/09/2021;17;0.056;R
ES0031300000000001EX;12/09/2021;18;0.055;R
ES0031300000000001EX;12/09/2021;19;0.057;R
ES0031300000000001EX;12/09/2021;20;0.049;R
ES0031300000000001EX;12/09/2021;21;0.479;R
ES0031300000000001EX;12/09/2021;22;0.182;R
ES0031300000000001EX;12/09/2021;23;0.16;R
ES0031300000000001EX;12/09/2021;24;0.1;R
ES0031300000000001EX;13/09/2021;1;0.084;R
ES0031300000000001EX;13/09/2021;2;0.069;R
ES0031300000000001EX;13/09/2021;3;0.058;R
ES0031300000000001EX;13/09/2021;4;0.058;R
ES0031300000000001EX;13/09/2021;5;0.061;R
ES0031300000000001EX;13/09/2021;6;0.06;R
ES0031300000000001EX;13/09/2021;7;0.1;R
ES0031300000000001EX;13/09/2021;8;0.075;R
ES0031300000000001EX;13/09/2021;9;0.217;R
ES0031300000000001EX;13/09/2021;10;0.193;R
ES0031300000000001EX;13/09/2021;11;0.103;R
ES0031300000000001EX;13/09/2021;12;0.092;R
ES0031300000000001EX;13/09/2021;13;0.095;R
ES0031300000000001EX;13/09/2021;14;0.083;R
