CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/05/2021;1;0.144;R
ES0031300000000001EX;01/05/2021;2;0.085;R
ES0031300000000001EX;01/05/2021;3;0.054;R
ES0031300000000001EX;01/05/2021;4;0.052;R
ES0031300000000001EX;01/05/2021;5;0.05;R
ES0031300000000001EX;01/05/2021;6;0.05;R
ES0031300000000001EX;01/05/2021;7;0.045;R
ES0031300000000001EX;01/05/2021;8;0.052;R
ES0031300000000001EX;01/05/2021;9;0.173;R
ES0031300000000001EX;01/05/2021;10;0.248;R
ES0031300000000001EX;01/05/2021;11;0.261;R
ES0031300000000001EX;01/05/2021;12;0.185;R
ES0031300000000001EX;01/05/2021;13;0.058;R
ES0031300000000001EX;01/05/2021;14;0.3;R
ES0031300000000001EX;01/05/2021;15;0.286;R
ES0031300000000001EX;01/05/2021;16;0.217;R
ES0031300000000001EX;01/05/2021;17;0.223;R
ES0031300000000001EX;01/05/2021;18;0.213;R
ES0031300000000001EX;01/05/2021;19;0.09;R
ES0031300000000001EX;01/05/2021;20;0.059;R
ES0031300000000001EX;01/05/2021;21;0.133;R
ES0031300000000001EX;01/05/2021;22;0.298;R
ES0031300000000001EX;01/05/2021;23;0.261;R
ES0031300000000001EX;01/05/2021;24;0.061;R
ES0031300000000001EX;02/05/2021;1;0.069;R
ES0031300000000001EX;02/05/2021;2;0.052;R
ES0031300000000001EX;02/05/2021;3;0.051;R
ES0031300000000001EX;02/05/2021;4;0.048;R
ES0031300000000001EX;02/05/2021;5;0.052;R
ES0031300000000001EX;02/05/2021;6;0.048;R
ES0031300000000001EX;02/05/2021;7;0.05;R
ES0031300000000001EX;02/05/2021;8;0.05;R
ES0031300000000001EX;02/05/2021;9;0.174;R
ES0031300000000001EX;02/05/2021;10;0.283;R
ES0031300000000001EX;02/05/2021;11;0.596;R
ES0031300000000001EX;02/05/2021;12;0.809;R
ES0031300000000001EX;02/05/2021;13;0.326;R
ES0031300000000001EX;02/05/2021;14;0.062;R
ES0031300000000001EX;02/05/2021;15;0.06;R
ES0031300000000001EX;02/05/2021;16;0.051;R
ES0031300000000001EX;02/05/2021;17;0.108;R
ES0031300000000001EX;02/05/2021;18;0.072;R
ES0031300000000001EX;02/05/2021;19;0.065;R
ES0031300000000001EX;02/05/2021;20;0.068;R
ES0031300000000001EX;02/05/2021;21;0.053;R
ES0031300000000001EX;02/05/2021;22;0.132;R
ES0031300000000001EX;02/05/2021;23;0.429;R
ES0031300000000001EX;02/05/2021;24;0.166;R
ES0031300000000001EX;03/05/2021;1;0.084;R
ES0031300000000001EX;03/05/2021;2;0.054;R
ES0031300000000001EX;03/05/2021;3;0.051;R
ES0031300000000001EX;03/05/2021;4;0.049;R
ES0031300000000001EX;03/05/2021;5;0.052;R
ES0031300000000001EX;03/05/2021;6;0.047;R
ES0031300000000001EX;03/05/2021;7;0.049;R
ES0031300000000001EX;03/05/2021;8;0.052;R
ES0031300000000001EX;03/05/2021;9;0.192;R
ES0031300000000001EX;03/05/2021;10;0.261;R
ES0031300000000001EX;03/05/2021;11;0.108;R
ES0031300000000001EX;03/05/2021;12;0.224;R
ES0031300000000001EX;03/05/2021;13;0.072;R
ES0031300000000001EX;03/05/2021;14;0.351;R
ES0031300000000001EX;03/05/2021;15;0.327;R
ES0031300000000001EX;03/05/2021;16;0.111;R
ES0031300000000001EX;03/05/2021;17;0.084;R
ES0031300000000001EX;03/05/2021;18;0.086;R
ES0031300000000001EX;03/05/2021;19;0.074;R
ES0031300000000001EX;03/05/2021;20;0.067;R
ES0031300000000001EX;03/05/2021;21;0.115;R
ES0031300000000001EX;03/05/2021;22;0.222;R
ES0031300000000001EX;03/05/2021;23;0.23;R
ES0031300000000001EX;03/05/2021;24;0.231;R
ES0031300000000001EX;04/05/2021;1;0.08;R
ES0031300000000001EX;04/05/2021;2;0.053;R
ES0031300000000001EX;04/05/2021;3;0.052;R
ES0031300000000001EX;04/05/2021;4;0.05;R
ES0031300000000001EX;04/05/2021;5;0.047;R
ES0031300000000001EX;04/05/2021;6;0.052;R
ES0031300000000001EX;04/05/2021;7;0.051;R
ES0031300000000001EX;04/05/2021;8;0.048;R
ES0031300000000001EX;04/05/2021;9;0.253;R
ES0031300000000001EX;04/05/2021;10;0.465;R
ES0031300000000001EX;04/05/2021;11;0.205;R
ES0031300000000001EX;04/05/2021;12;0.11;R
ES0031300000000001EX;04/05/2021;13;0.076;R
ES0031300000000001EX;04/05/2021;14;0.082;R
ES0031300000000001EX;04/05/2021;15;0.454;R
ES0031300000000001EX;04/05/2021;16;0.249;R
ES0031300000000001EX;04/05/2021;17;0.198;R
ES0031300000000001EX;04/05/2021;18;0.19;R
ES0031300000000001EX;04/05/2021;19;0.162;R
ES0031300000000001EX;04/05/2021;20;0.087;R
ES0031300000000001EX;04/05/2021;21;0.293;R
ES0031300000000001EX;04/05/2021;22;0.562;R
ES0031300000000001EX;04/05/2021;23;0.305;R
ES0031300000000001EX;04/05/2021;24;0.227;R
ES0031300000000001EX;05/05/2021;1;0.132;R
ES0031300000000001EX;05/05/2021;2;0.068;R
ES0031300000000001EX;05/05/2021;3;0.053;R
ES0031300000000001EX;05/05/2021;4;0.051;R
ES0031300000000001EX;05/05/2021;5;0.054;R
ES0031300000000001EX;05/05/2021;6;0.054;R
ES0031300000000001EX;05/05/2021;7;0.052;R
ES0031300000000001EX;05/05/2021;8;0.051;R
ES0031300000000001EX;05/05/2021;9;0.247;R
ES0031300000000001EX;05/05/2021;10;0.258;R
ES0031300000000001EX;05/05/2021;11;0.1;R
ES0031300000000001EX;05/05/2021;12;0.049;R
ES0031300000000001EX;05/05/2021;13;0.108;R
ES0031300000000001EX;05/05/2021;14;0.208;R
ES0031300000000001EX;05/05/2021;15;0.406;R
ES0031300000000001EX;05/05/2021;16;0.198;R
ES0031300000000001EX;05/05/2021;17;0.066;R
ES0031300000000001EX;05/05/2021;18;0.05;R
ES0031300000000001EX;05/05/2021;19;0.047;R
ES0031300000000001EX;05/05/2021;20;0.137;R
ES0031300000000001EX;05/05/2021;21;0.121;R
ES0031300000000001EX;05/05/2021;22;0.218;R
ES0031300000000001EX;05/05/2021;23;0.338;R
ES0031300000000001EX;05/05/2021;24;0.295;R
ES0031300000000001EX;06/05/2021;1;0.206;R
ES0031300000000001EX;06/05/2021;2;0.103;R
ES0031300000000001EX;06/05/2021;3;0.068;R
ES0031300000000001EX;06/05/2021;4;0.062;R
ES0031300000000001EX;06/05/2021;5;0.061;R
