CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/11/2021;1;0.617;R
ES0031300000000000ED;01/11/2021;2;0.507;R
ES0031300000000000ED;01/11/2021;3;0.52;R
ES0031300000000000ED;01/11/2021;4;0.542;R
ES0031300000000000ED;01/11/2021;5;0.491;R
ES0031300000000000ED;01/11/2021;6;0.522;R
ES0031300000000000ED;01/11/2021;7;0.557;R
ES0031300000000000ED;01/11/2021;8;0.775;R
ES0031300000000000ED;01/11/2021;9;0.731;R
ES0031300000000000ED;01/11/2021;10;0.783;R
ES0031300000000000ED;01/11/2021;11;2.159;R
ES0031300000000000ED;01/11/2021;12;1.378;R
ES0031300000000000ED;01/11/2021;13;0.76;R
ES0031300000000000ED;01/11/2021;14;1.831;R
ES0031300000000000ED;01/11/2021;15;0.07;R
ES0031300000000000ED;01/11/2021;16;0.156;R
ES0031300000000000ED;01/11/2021;17;0.064;R
ES0031300000000000ED;01/11/2021;18;0.037;R
ES0031300000000000ED;01/11/2021;19;0.073;R
ES0031300000000000ED;01/11/2021;20;0.752;R
ES0031300000000000ED;01/11/2021;21;0.17;R
ES0031300000000000ED;01/11/2021;22;0.242;R
ES0031300000000000ED;01/11/2021;23;0.314;R
ES0031300000000000ED;01/11/2021;24;0.153;R
ES0031300000000000ED;02/11/2021;1;0.072;R
ES0031300000000000ED;02/11/2021;2;0.089;R
ES0031300000000000ED;02/11/2021;3;0.095;R
ES0031300000000000ED;02/11/2021;4;0.044;R
ES0031300000000000ED;02/11/2021;5;0.055;R
ES0031300000000000ED;02/11/2021;6;0.122;R
ES0031300000000000ED;02/11/2021;7;0.268;R
ES0031300000000000ED;02/11/2021;8;0.043;R
ES0031300000000000ED;02/11/2021;9;0.112;R
ES0031300000000000ED;02/11/2021;10;0.173;R
ES0031300000000000ED;02/11/2021;11;2.506;R
ES0031300000000000ED;02/11/2021;12;0.288;R
ES0031300000000000ED;02/11/2021;13;0.109;R
ES0031300000000000ED;02/11/2021;14;0.101;R
ES0031300000000000ED;02/11/2021;15;0.272;R
ES0031300000000000ED;02/11/2021;16;0.482;R
ES0031300000000000ED;02/11/2021;17;0.335;R
ES0031300000000000ED;02/11/2021;18;0.229;R
ES0031300000000000ED;02/11/2021;19;0.236;R
ES0031300000000000ED;02/11/2021;20;0.16;R
ES0031300000000000ED;02/11/2021;21;0.091;R
ES0031300000000000ED;02/11/2021;22;0.09;R
ES0031300000000000ED;02/11/2021;23;0.341;R
ES0031300000000000ED;02/11/2021;24;0.203;R
ES0031300000000000ED;03/11/2021;1;0.059;R
ES0031300000000000ED;03/11/2021;2;0.114;R
ES0031300000000000ED;03/11/2021;3;0.286;R
ES0031300000000000ED;03/11/2021;4;0.037;R
ES0031300000000000ED;03/11/2021;5;0.106;R
ES0031300000000000ED;03/11/2021;6;0.056;R
ES0031300000000000ED;03/11/2021;7;0.037;R
ES0031300000000000ED;03/11/2021;8;0.107;R
ES0031300000000000ED;03/11/2021;9;0.381;R
ES0031300000000000ED;03/11/2021;10;2.416;R
ES0031300000000000ED;03/11/2021;11;0.327;R
ES0031300000000000ED;03/11/2021;12;0.324;R
ES0031300000000000ED;03/11/2021;13;0.082;R
ES0031300000000000ED;03/11/2021;14;1.342;R
ES0031300000000000ED;03/11/2021;15;0.574;R
ES0031300000000000ED;03/11/2021;16;0.799;R
ES0031300000000000ED;03/11/2021;17;0.695;R
ES0031300000000000ED;03/11/2021;18;0.714;R
ES0031300000000000ED;03/11/2021;19;0.661;R
ES0031300000000000ED;03/11/2021;20;0.895;R
ES0031300000000000ED;03/11/2021;21;0.766;R
ES0031300000000000ED;03/11/2021;22;0.796;R
ES0031300000000000ED;03/11/2021;23;0.694;R
ES0031300000000000ED;03/11/2021;24;0.8;R
ES0031300000000000ED;04/11/2021;1;0.641;R
ES0031300000000000ED;04/11/2021;2;0.485;R
