CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/04/2021;1;1.693;R
ES0031300000000000ED;01/04/2021;2;1.54;R
ES0031300000000000ED;01/04/2021;3;1.218;R
ES0031300000000000ED;01/04/2021;4;1.013;R
ES0031300000000000ED;01/04/2021;5;1.042;R
ES0031300000000000ED;01/04/2021;6;1.047;R
ES0031300000000000ED;01/04/2021;7;1.098;R
ES0031300000000000ED;01/04/2021;8;1.308;R
ES0031300000000000ED;01/04/2021;9;1.241;R
ES0031300000000000ED;01/04/2021;10;1.319;R
ES0031300000000000ED;01/04/2021;11;3.213;R
ES0031300000000000ED;01/04/2021;12;1.407;R
ES0031300000000000ED;01/04/2021;13;1.117;R
ES0031300000000000ED;01/04/2021;14;1.088;R
ES0031300000000000ED;01/04/2021;15;1.37;R
ES0031300000000000ED;01/04/2021;16;1.159;R
ES0031300000000000ED;01/04/2021;17;1.06;R
ES0031300000000000ED;01/04/2021;18;1.061;R
ES0031300000000000ED;01/04/2021;19;1.008;R
ES0031300000000000ED;01/04/2021;20;1.119;R
ES0031300000000000ED;01/04/2021;21;1.132;R
ES0031300000000000ED;01/04/2021;22;1.524;R
ES0031300000000000ED;01/04/2021;23;1.177;R
ES0031300000000000ED;01/04/2021;24;1.867;R
ES0031300000000000ED;02/04/2021;1;1.122;R
ES0031300000000000ED;02/04/2021;2;0.978;R
ES0031300000000000ED;02/04/2021;3;0.892;R
ES0031300000000000ED;02/04/2021;4;0.948;R
ES0031300000000000ED;02/04/2021;5;1.152;R
ES0031300000000000ED;02/04/2021;6;0.955;R
ES0031300000000000ED;02/04/2021;7;0.94;R
ES0031300000000000ED;02/04/2021;8;1.019;R
ES0031300000000000ED;02/04/2021;9;1.129;R
ES0031300000000000ED;02/04/2021;10;1.135;R
ES0031300000000000ED;02/04/2021;11;1.166;R
ES0031300000000000ED;02/04/2021;12;2.354;R
ES0031300000000000ED;02/04/2021;13;1.007;R
ES0031300000000000ED;02/04/2021;14;1.384;R
ES0031300000000000ED;02/04/2021;15;0.634;R
ES0031300000000000ED;02/04/2021;16;0.516;R
ES0031300000000000ED;02/04/2021;17;0.511;R
ES0031300000000000ED;02/04/2021;18;0.101;R
ES0031300000000000ED;02/04/2021;19;0.134;R
ES0031300000000000ED;02/04/2021;20;0.976;R
ES0031300000000000ED;02/04/2021;21;1.136;R
ES0031300000000000ED;02/04/2021;22;1.412;R
ES0031300000000000ED;02/04/2021;23;1.093;R
ES0031300000000000ED;02/04/2021;24;1.31;R
ES0031300000000000ED;03/04/2021;1;0.557;R
ES0031300000000000ED;03/04/2021;2;0.615;R
ES0031300000000000ED;03/04/2021;3;0.669;R
ES0031300000000000ED;03/04/2021;4;0.587;R
ES0031300000000000ED;03/04/2021;5;0.602;R
ES0031300000000000ED;03/04/2021;6;0.64;R
ES0031300000000000ED;03/04/2021;7;0.946;R
ES0031300000000000ED;03/04/2021;8;0.672;R
ES0031300000000000ED;03/04/2021;9;0.864;R
ES0031300000000000ED;03/04/2021;10;2.988;R
ES0031300000000000ED;03/04/2021;11;1.401;R
ES0031300000000000ED;03/04/2021;12;1.161;R
ES0031300000000000ED;03/04/2021;13;1.161;R
ES0031300000000000ED;03/04/2021;14;0.97;R
ES0031300000000000ED;03/04/2021;15;1.164;R
ES0031300000000000ED;03/04/2021;16;0.89;R
ES0031300000000000ED;03/04/2021;17;0.738;R
ES0031300000000000ED;03/04/2021;18;0.545;R
ES0031300000000000ED;03/04/2021;19;0.083;R
ES0031300000000000ED;03/04/2021;20;0.836;R
ES0031300000000000ED;03/04/2021;21;1.349;R
ES0031300000000000ED;03/04/2021;22;1.282;R
ES0031300000000000ED;03/04/2021;23;1.184;R
ES0031300000000000ED;03/04/2021;24;1.074;R
ES0031300000000000ED;04/04/2021;1;1.091;R
ES0031300000000000ED;04/04/2021;2;0.489;R
ES0031300000000000ED;04/04/2021;3;0.52;R
ES0031300000000000ED;04/04/2021;4;0.566;R
ES0031300000000000ED;04/04/2021;5;0.674;R
ES0031300000000000ED;04/04/2021;6;0.774;R
ES0031300000000000ED;04/04/2021;7;0.613;R
ES0031300000000000ED;04/04/2021;8;0.649;R
ES0031300000000000ED;04/04/2021;9;0.678;R
ES0031300000000000ED;04/04/2021;10;0.838;R
ES0031300000000000ED;04/04/2021;11;2.066;R
ES0031300000000000ED;04/04/2021;12;1.022;R
ES0031300000000000ED;04/04/2021;13;1.097;R
ES0031300000000000ED;04/04/2021;14;0.346;R
ES0031300000000000ED;04/04/2021;15;1.206;R
ES0031300000000000ED;04/04/2021;16;1.39;R
ES0031300000000000ED;04/04/2021;17;1.157;R
ES0031300000000000ED;04/04/2021;18;1.156;R
ES0031300000000000ED;04/04/2021;19;1.033;R
ES0031300000000000ED;04/04/2021;20;1.127;R
ES0031300000000000ED;04/04/2021;21;1.076;R
ES0031300000000000ED;04/04/2021;22;1.363;R
ES0031300000000000ED;04/04/2021;23;1.039;R
ES0031300000000000ED;04/04/2021;24;0.922;R
ES0031300000000000ED;05/04/2021;1;0.783;R
ES0031300000000000ED;05/04/2021;2;0.452;R
ES0031300000000000ED;05/04/2021;3;0.361;R
ES0031300000000000ED;05/04/2021;4;0.486;R
ES0031300000000000ED;05/04/2021;5;0.403;R
ES0031300000000000ED;05/04/2021;6;0.474;R
ES0031300000000000ED;05/04/2021;7;0.671;R
ES0031300000000000ED;05/04/2021;8;0.501;R
ES0031300000000000ED;05/04/2021;9;0.493;R
ES0031300000000000ED;05/04/2021;10;0.792;R
ES0031300000000000ED;05/04/2021;11;0.628;R
ES0031300000000000ED;05/04/2021;12;1.216;R
ES0031300000000000ED;05/04/2021;13;2.24;R
ES0031300000000000ED;05/04/2021;14;0.294;R
ES0031300000000000ED;05/04/2021;15;0.275;R
ES0031300000000000ED;05/04/2021;16;0.238;R
ES0031300000000000ED;05/04/2021;17;0.266;R
ES0031300000000000ED;05/04/2021;18;0.22;R
ES0031300000000000ED;05/04/2021;19;0.284;R
ES0031300000000000ED;05/04/2021;20;0.094;R
ES0031300000000000ED;05/04/2021;21;0.202;R
ES0031300000000000ED;05/04/2021;22;0.315;R
ES0031300000000000ED;05/04/2021;23;0.151;R
ES0031300000000000ED;05/04/2021;24;1.008;R
ES0031300000000000ED;06/04/2021;1;0.506;R
ES0031300000000000ED;06/04/2021;2;0.374;R
ES0031300000000000ED;06/04/2021;3;0.443;R
ES0031300000000000ED;06/04/2021;4;0.397;R
ES0031300000000000ED;06/04/2021;5;0.439;R
ES0031300000000000ED;06/04/2021;6;0.431;R
ES0031300000000000ED;06/04/2021;7;0.447;R
ES0031300000000000ED;06/04/2021;8;0.439;R
ES0031300000000000ED;06/04/2021;9;0.683;R
ES0031300000000000ED;06/04/2021;10;0.769;R
ES0031300000000000ED;06/04/2021;11;0.915;R
ES0031300000000000ED;06/04/2021;12;0.773;R
ES0031300000000000ED;06/04/2021;13;0.741;R
ES0031300000000000ED;06/04/2021;14;0.478;R
ES0031300000000000ED;06/04/2021;15;0.187;R
ES0031300000000000ED;06/04/2021;16;0.249;R
ES0031300000000000ED;06/04/2021;17;0.172;R
ES0031300000000000ED;06/04/2021;18;0.31;R
ES0031300000000000ED;06/04/2021;19;0.094;R
ES0031300000000000ED;06/04/2021;20;0.073;R
ES0031300000000000ED;06/04/2021;21;0.78;R
ES0031300000000000ED;06/04/2021;22;0.897;R
ES0031300000000000ED;06/04/2021;23;0.969;R
ES0031300000000000ED;06/04/2021;24;0.774;R
ES0031300000000000ED;07/04/2021;1;0.791;R
ES0031300000000000ED;07/04/2021;2;0.837;R
ES0031300000000000ED;07/04/2021;3;0.642;R
ES0031300000000000ED;07/04/2021;4;0.304;R
ES0031300000000000ED;07/04/2021;5;0.387;R
ES0031300000000000ED;07/04/2021;6;0.362;R
ES0031300000000000ED;07/04/2021;7;0.435;R
ES0031300000000000ED;07/04/2021;8;0.382;R
ES0031300000000000ED;07/04/2021;9;0.446;R
ES0031300000000000ED;07/04/2021;10;0.806;R
ES0031300000000000ED;07/04/2021;11;3.469;R
ES0031300000000000ED;07/04/2021;12;1.61;R
ES0031300000000000ED;07/04/2021;13;1.154;R
ES0031300000000000ED;07/04/2021;14;0.719;R
ES0031300000000000ED;07/04/2021;15;0.94;R
ES0031300000000000ED;07/04/2021;16;0.328;R
ES0031300000000000ED;07/04/2021;17;0.305;R
ES0031300000000000ED;07/04/2021;18;0.104;R
ES0031300000000000ED;07/04/2021;19;0.148;R
ES0031300000000000ED;07/04/2021;20;0.134;R
ES0031300000000000ED;07/04/2021;21;0.526;R
ES0031300000000000ED;07/04/2021;22;0.932;R
ES0031300000000000ED;07/04/2021;23;0.888;R
ES0031300000000000ED;07/04/2021;24;1.04;R
ES0031300000000000ED;08/04/2021;1;0.634;R
