CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/09/2021;1;0.077;R
ES0031300000000000ED;01/09/2021;2;0.086;R
ES0031300000000000ED;01/09/2021;3;0.107;R
ES0031300000000000ED;01/09/2021;4;0.079;R
ES0031300000000000ED;01/09/2021;5;0.398;R
ES0031300000000000ED;01/09/2021;6;0.069;R
ES0031300000000000ED;01/09/2021;7;0.089;R
ES0031300000000000ED;01/09/2021;8;0.502;R
ES0031300000000000ED;01/09/2021;9;1.306;R
ES0031300000000000ED;01/09/2021;10;0.098;R
ES0031300000000000ED;01/09/2021;11;0.089;R
ES0031300000000000ED;01/09/2021;12;0.058;R
ES0031300000000000ED;01/09/2021;13;0.099;R
ES0031300000000000ED;01/09/2021;14;0.064;R
ES0031300000000000ED;01/09/2021;15;0.082;R
ES0031300000000000ED;01/09/2021;16;0.094;R
ES0031300000000000ED;01/09/2021;17;0.256;R
ES0031300000000000ED;01/09/2021;18;0.184;R
ES0031300000000000ED;01/09/2021;19;0.093;R
ES0031300000000000ED;01/09/2021;20;0.333;R
ES0031300000000000ED;01/09/2021;21;0.107;R
ES0031300000000000ED;01/09/2021;22;0.247;R
ES0031300000000000ED;01/09/2021;23;0.287;R
ES0031300000000000ED;01/09/2021;24;0.311;R
ES0031300000000000ED;02/09/2021;1;0.094;R
ES0031300000000000ED;02/09/2021;2;0.062;R
ES0031300000000000ED;02/09/2021;3;0.168;R
ES0031300000000000ED;02/09/2021;4;0.073;R
ES0031300000000000ED;02/09/2021;5;0.108;R
ES0031300000000000ED;02/09/2021;6;0.274;R
ES0031300000000000ED;02/09/2021;7;0.35;R
ES0031300000000000ED;02/09/2021;8;0.901;R
ES0031300000000000ED;02/09/2021;9;0.055;R
ES0031300000000000ED;02/09/2021;10;0.099;R
ES0031300000000000ED;02/09/2021;11;0.079;R
ES0031300000000000ED;02/09/2021;12;0.076;R
ES0031300000000000ED;02/09/2021;13;0.101;R
ES0031300000000000ED;02/09/2021;14;0.055;R
ES0031300000000000ED;02/09/2021;15;0.109;R
ES0031300000000000ED;02/09/2021;16;0.06;R
ES0031300000000000ED;02/09/2021;17;0.099;R
ES0031300000000000ED;02/09/2021;18;0.09;R
ES0031300000000000ED;02/09/2021;19;0.069;R
ES0031300000000000ED;02/09/2021;20;0.323;R
ES0031300000000000ED;02/09/2021;21;0.286;R
ES0031300000000000ED;02/09/2021;22;0.453;R
ES0031300000000000ED;02/09/2021;23;0.283;R
ES0031300000000000ED;02/09/2021;24;0.323;R
ES0031300000000000ED;03/09/2021;1;0.256;R
ES0031300000000000ED;03/09/2021;2;0.097;R
ES0031300000000000ED;03/09/2021;3;0.076;R
ES0031300000000000ED;03/09/2021;4;0.833;R
ES0031300000000000ED;03/09/2021;5;0.105;R
ES0031300000000000ED;03/09/2021;6;0.1;R
ES0031300000000000ED;03/09/2021;7;0.072;R
ES0031300000000000ED;03/09/2021;8;0.12;R
ES0031300000000000ED;03/09/2021;9;0.15;R
ES0031300000000000ED;03/09/2021;10;1.038;R
ES0031300000000000ED;03/09/2021;11;0.812;R
ES0031300000000000ED;03/09/2021;12;0.108;R
ES0031300000000000ED;03/09/2021;13;0.063;R
ES0031300000000000ED;03/09/2021;14;0.095;R
ES0031300000000000ED;03/09/2021;15;0.085;R
ES0031300000000000ED;03/09/2021;16;0.388;R
ES0031300000000000ED;03/09/2021;17;0.257;R
ES0031300000000000ED;03/09/2021;18;0.281;R
ES0031300000000000ED;03/09/2021;19;0.103;R
ES0031300000000000ED;03/09/2021;20;0.106;R
ES0031300000000000ED;03/09/2021;21;0.126;R
ES0031300000000000ED;03/09/2021;22;0.221;R
ES0031300000000000ED;03/09/2021;23;0.5;R
ES0031300000000000ED;03/09/2021;24;0.366;R
ES0031300000000000ED;04/09/2021;1;0.182;R
ES0031300000000000ED;04/09/2021;2;0.101;R
ES0031300000000000ED;04/09/2021;3;0.111;R
ES0031300000000000ED;04/09/2021;4;0.065;R
ES0031300000000000ED;04/09/2021;5;0.101;R
ES0031300000000000ED;04/09/2021;6;0.107;R
ES0031300000000000ED;04/09/2021;7;0.058;R
ES0031300000000000ED;04/09/2021;8;0.25;R
ES0031300000000000ED;04/09/2021;9;1.62;R
ES0031300000000000ED;04/09/2021;10;0.081;R
