CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/11/2021;1;0.067;R
ES0031300000000001EX;01/11/2021;2;0.065;R
ES0031300000000001EX;01/11/2021;3;0.063;R
ES0031300000000001EX;01/11/2021;4;0.06;R
ES0031300000000001EX;01/11/2021;5;0.052;R
ES0031300000000001EX;01/11/2021;6;0.053;R
ES0031300000000001EX;01/11/2021;7;0.052;R
ES0031300000000001EX;01/11/2021;8;0.06;R
ES0031300000000001EX;01/11/2021;9;0.202;R
ES0031300000000001EX;01/11/2021;10;0.251;R
ES0031300000000001EX;01/11/2021;11;0.214;R
ES0031300000000001EX;01/11/2021;12;0.288;R
ES0031300000000001EX;01/11/2021;13;0.168;R
ES0031300000000001EX;01/11/2021;14;0.077;R
ES0031300000000001EX;01/11/2021;15;0.589;R
ES0031300000000001EX;01/11/2021;16;0.27;R
ES0031300000000001EX;01/11/2021;17;0.107;R
ES0031300000000001EX;01/11/2021;18;0.068;R
ES0031300000000001EX;01/11/2021;19;0.072;R
ES0031300000000001EX;01/11/2021;20;0.157;R
ES0031300000000001EX;01/11/2021;21;0.224;R
ES0031300000000001EX;01/11/2021;22;0.32;R
ES0031300000000001EX;01/11/2021;23;0.214;R
ES0031300000000001EX;01/11/2021;24;0.218;R
ES0031300000000001EX;02/11/2021;1;0.059;R
ES0031300000000001EX;02/11/2021;2;0.059;R
ES0031300000000001EX;02/11/2021;3;0.059;R
ES0031300000000001EX;02/11/2021;4;0.058;R
ES0031300000000001EX;02/11/2021;5;0.059;R
ES0031300000000001EX;02/11/2021;6;0.055;R
ES0031300000000001EX;02/11/2021;7;0.055;R
ES0031300000000001EX;02/11/2021;8;0.048;R
ES0031300000000001EX;02/11/2021;9;0.194;R
ES0031300000000001EX;02/11/2021;10;0.154;R
ES0031300000000001EX;02/11/2021;11;0.049;R
ES0031300000000001EX;02/11/2021;12;0.05;R
ES0031300000000001EX;02/11/2021;13;0.049;R
ES0031300000000001EX;02/11/2021;14;0.05;R
ES0031300000000001EX;02/11/2021;15;0.05;R
ES0031300000000001EX;02/11/2021;16;0.097;R
ES0031300000000001EX;02/11/2021;17;0.071;R
ES0031300000000001EX;02/11/2021;18;0.06;R
ES0031300000000001EX;02/11/2021;19;0.061;R
ES0031300000000001EX;02/11/2021;20;0.053;R
ES0031300000000001EX;02/11/2021;21;0.061;R
ES0031300000000001EX;02/11/2021;22;0.246;R
ES0031300000000001EX;02/11/2021;23;0.225;R
ES0031300000000001EX;02/11/2021;24;0.275;R
ES0031300000000001EX;03/11/2021;1;0.088;R
ES0031300000000001EX;03/11/2021;2;0.06;R
ES0031300000000001EX;03/11/2021;3;0.06;R
ES0031300000000001EX;03/11/2021;4;0.055;R
ES0031300000000001EX;03/11/2021;5;0.051;R
ES0031300000000001EX;03/11/2021;6;0.052;R
ES0031300000000001EX;03/11/2021;7;0.051;R
ES0031300000000001EX;03/11/2021;8;0.052;R
ES0031300000000001EX;03/11/2021;9;0.197;R
ES0031300000000001EX;03/11/2021;10;0.21;R
ES0031300000000001EX;03/11/2021;11;0.06;R
ES0031300000000001EX;03/11/2021;12;0.064;R
ES0031300000000001EX;03/11/2021;13;0.086;R
ES0031300000000001EX;03/11/2021;14;0.084;R
ES0031300000000001EX;03/11/2021;15;0.305;R
ES0031300000000001EX;03/11/2021;16;0.205;R
ES0031300000000001EX;03/11/2021;17;0.095;R
ES0031300000000001EX;03/11/2021;18;0.088;R
ES0031300000000001EX;03/11/2021;19;0.093;R
ES0031300000000001EX;03/11/2021;20;0.152;R
ES0031300000000001EX;03/11/2021;21;0.175;R
ES0031300000000001EX;03/11/2021;22;0.235;R
ES0031300000000001EX;03/11/2021;23;0.219;R
ES0031300000000001EX;03/11/2021;24;0.219;R
ES0031300000000001EX;04/11/2021;1;0.099;R
ES0031300000000001EX;04/11/2021;2;0.062;R
ES0031300000000001EX;04/11/2021;3;0.058;R
ES0031300000000001EX;04/11/2021;4;0.075;R
ES0031300000000001EX;04/11/2021;5;0.091;R
ES0031300000000001EX;04/11/2021;6;0.051;R
ES0031300000000001EX;04/11/2021;7;0.05;R
ES0031300000000001EX;04/11/2021;8;0.05;R
ES0031300000000001EX;04/11/2021;9;0.194;R
ES0031300000000001EX;04/11/2021;10;0.239;R
ES0031300000000001EX;04/11/2021;11;0.065;R
ES0031300000000001EX;04/11/2021;12;0.056;R
ES0031300000000001EX;04/11/2021;13;0.048;R
ES0031300000000001EX;04/11/2021;14;0.055;R
ES0031300000000001EX;04/11/2021;15;0.07;R
ES0031300000000001EX;04/11/2021;16;0.986;R
ES0031300000000001EX;04/11/2021;17;0.308;R
ES0031300000000001EX;04/11/2021;18;0.525;R
ES0031300000000001EX;04/11/2021;19;0.108;R
ES0031300000000001EX;04/11/2021;20;0.153;R
ES0031300000000001EX;04/11/2021;21;0.157;R
ES0031300000000001EX;04/11/2021;22;0.207;R
ES0031300000000001EX;04/11/2021;23;0.238;R
ES0031300000000001EX;04/11/2021;24;0.197;R
ES0031300000000001EX;05/11/2021;1;0.081;R
ES0031300000000001EX;05/11/2021;2;0.076;R
ES0031300000000001EX;05/11/2021;3;0.056;R
ES0031300000000001EX;05/11/2021;4;0.049;R
ES0031300000000001EX;05/11/2021;5;0.048;R
ES0031300000000001EX;05/11/2021;6;0.043;R
ES0031300000000001EX;05/11/2021;7;0.05;R
ES0031300000000001EX;05/11/2021;8;0.051;R
ES0031300000000001EX;05/11/2021;9;0.211;R
ES0031300000000001EX;05/11/2021;10;0.061;R
ES0031300000000001EX;05/11/2021;11;0.079;R
ES0031300000000001EX;05/11/2021;12;0.085;R
ES0031300000000001EX;05/11/2021;13;0.049;R
ES0031300000000001EX;05/11/2021;14;0.544;R
ES0031300000000001EX;05/11/2021;15;1.1;R
ES0031300000000001EX;05/11/2021;16;0.573;R
ES0031300000000001EX;05/11/2021;17;0.087;R
ES0031300000000001EX;05/11/2021;18;0.047;R
ES0031300000000001EX;05/11/2021;19;0.052;R
ES0031300000000001EX;05/11/2021;20;0.289;R
ES0031300000000001EX;05/11/2021;21;0.295;R
ES0031300000000001EX;05/11/2021;22;0.435;R
ES0031300000000001EX;05/11/2021;23;0.28;R
ES0031300000000001EX;05/11/2021;24;0.213;R
ES0031300000000001EX;06/11/2021;1;0.065;R
ES0031300000000001EX;06/11/2021;2;0.049;R
ES0031300000000001EX;06/11/2021;3;0.048;R
ES0031300000000001EX;06/11/2021;4;0.047;R
ES0031300000000001EX;06/11/2021;5;0.048;R
ES0031300000000001EX;06/11/2021;6;0.047;R
ES0031300000000001EX;06/11/2021;7;0.046;R
ES0031300000000001EX;06/11/2021;8;0.046;R
ES0031300000000001EX;06/11/2021;9;0.052;R
ES0031300000000001EX;06/11/2021;10;0.186;R
ES0031300000000001EX;06/11/2021;11;0.244;R
ES0031300000000001EX;06/11/2021;12;0.204;R
ES0031300000000001EX;06/11/2021;13;0.224;R
ES0031300000000001EX;06/11/2021;14;0.223;R
ES0031300000000001EX;06/11/2021;15;1.224;R
ES0031300000000001EX;06/11/2021;16;0.303;R
ES0031300000000001EX;06/11/2021;17;0.209;R
ES0031300000000001EX;06/11/2021;18;0.267;R
ES0031300000000001EX;06/11/2021;19;0.229;R
ES0031300000000001EX;06/11/2021;20;0.153;R
ES0031300000000001EX;06/11/2021;21;0.082;R
ES0031300000000001EX;06/11/2021;22;0.128;R
ES0031300000000001EX;06/11/2021;23;0.232;R
ES0031300000000001EX;06/11/2021;24;0.23;R
ES0031300000000001EX;07/11/2021;1;0.065;R
ES0031300000000001EX;07/11/2021;2;0.054;R
ES0031300000000001EX;07/11/2021;3;0.051;R
ES0031300000000001EX;07/11/2021;4;0.051;R
ES0031300000000001EX;07/11/2021;5;0.048;R
ES0031300000000001EX;07/11/2021;6;0.042;R
ES0031300000000001EX;07/11/2021;7;0.046;R
ES0031300000000001EX;07/11/2021;8;0.042;R
ES0031300000000001EX;07/11/2021;9;0.046;R
ES0031300000000001EX;07/11/2021;10;0.123;R
ES0031300000000001EX;07/11/2021;11;0.549;R
ES0031300000000001EX;07/11/2021;12;0.381;R
ES0031300000000001EX;07/11/2021;13;0.104;R
ES0031300000000001EX;07/11/2021;14;0.052;R
