CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/08/2021;1;0.095;R
ES0031300000000001EX;01/08/2021;2;0.07;R
ES0031300000000001EX;01/08/2021;3;0.053;R
ES0031300000000001EX;01/08/2021;4;0.043;R
ES0031300000000001EX;01/08/2021;5;0.055;R
ES0031300000000001EX;01/08/2021;6;0.058;R
ES0031300000000001EX;01/08/2021;7;0.056;R
ES0031300000000001EX;01/08/2021;8;0.051;R
ES0031300000000001EX;01/08/2021;9;0.05;R
ES0031300000000001EX;01/08/2021;10;0.085;R
ES0031300000000001EX;01/08/2021;11;0.246;R
ES0031300000000001EX;01/08/2021;12;0.201;R
ES0031300000000001EX;01/08/2021;13;0.112;R
ES0031300000000001EX;01/08/2021;14;0.057;R
ES0031300000000001EX;01/08/2021;15;0.051;R
ES0031300000000001EX;01/08/2021;16;0.053;R
ES0031300000000001EX;01/08/2021;17;0.049;R
ES0031300000000001EX;01/08/2021;18;0.051;R
ES0031300000000001EX;01/08/2021;19;0.049;R
ES0031300000000001EX;01/08/2021;20;0.065;R
ES0031300000000001EX;01/08/2021;21;0.437;R
ES0031300000000001EX;01/08/2021;22;0.198;R
ES0031300000000001EX;01/08/2021;23;0.323;R
ES0031300000000001EX;01/08/2021;24;0.15;R
ES0031300000000001EX;02/08/2021;1;0.092;R
ES0031300000000001EX;02/08/2021;2;0.062;R
ES0031300000000001EX;02/08/2021;3;0.059;R
ES0031300000000001EX;02/08/2021;4;0.058;R
ES0031300000000001EX;02/08/2021;5;0.059;R
ES0031300000000001EX;02/08/2021;6;0.062;R
ES0031300000000001EX;02/08/2021;7;0.06;R
ES0031300000000001EX;02/08/2021;8;0.059;R
ES0031300000000001EX;02/08/2021;9;0.053;R
ES0031300000000001EX;02/08/2021;10;0.106;R
ES0031300000000001EX;02/08/2021;11;0.214;R
ES0031300000000001EX;02/08/2021;12;0.147;R
ES0031300000000001EX;02/08/2021;13;0.075;R
ES0031300000000001EX;02/08/2021;14;0.099;R
ES0031300000000001EX;02/08/2021;15;0.366;R
ES0031300000000001EX;02/08/2021;16;0.219;R
ES0031300000000001EX;02/08/2021;17;0.204;R
ES0031300000000001EX;02/08/2021;18;0.196;R
ES0031300000000001EX;02/08/2021;19;0.133;R
ES0031300000000001EX;02/08/2021;20;0.065;R
