CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/10/2021;1;0.123;R
ES0031300000000001EX;01/10/2021;2;0.056;R
ES0031300000000001EX;01/10/2021;3;0.055;R
ES0031300000000001EX;01/10/2021;4;0.048;R
ES0031300000000001EX;01/10/2021;5;0.054;R
ES0031300000000001EX;01/10/2021;6;0.052;R
ES0031300000000001EX;01/10/2021;7;0.052;R
ES0031300000000001EX;01/10/2021;8;0.063;R
ES0031300000000001EX;01/10/2021;9;0.229;R
ES0031300000000001EX;01/10/2021;10;0.144;R
ES0031300000000001EX;01/10/2021;11;0.052;R
ES0031300000000001EX;01/10/2021;12;0.055;R
ES0031300000000001EX;01/10/2021;13;0.054;R
ES0031300000000001EX;01/10/2021;14;0.055;R
ES0031300000000001EX;01/10/2021;15;0.41;R
ES0031300000000001EX;01/10/2021;16;0.343;R
ES0031300000000001EX;01/10/2021;17;0.086;R
ES0031300000000001EX;01/10/2021;18;0.062;R
ES0031300000000001EX;01/10/2021;19;0.063;R
ES0031300000000001EX;01/10/2021;20;0.062;R
ES0031300000000001EX;01/10/2021;21;0.058;R
ES0031300000000001EX;01/10/2021;22;0.31;R
ES0031300000000001EX;01/10/2021;23;0.256;R
ES0031300000000001EX;01/10/2021;24;0.221;R
ES0031300000000001EX;02/10/2021;1;0.09;R
ES0031300000000001EX;02/10/2021;2;0.149;R
ES0031300000000001EX;02/10/2021;3;0.086;R
ES0031300000000001EX;02/10/2021;4;0.061;R
ES0031300000000001EX;02/10/2021;5;0.05;R
ES0031300000000001EX;02/10/2021;6;0.056;R
ES0031300000000001EX;02/10/2021;7;0.055;R
ES0031300000000001EX;02/10/2021;8;0.053;R
ES0031300000000001EX;02/10/2021;9;0.051;R
ES0031300000000001EX;02/10/2021;10;0.152;R
ES0031300000000001EX;02/10/2021;11;0.234;R
ES0031300000000001EX;02/10/2021;12;0.214;R
ES0031300000000001EX;02/10/2021;13;0.139;R
ES0031300000000001EX;02/10/2021;14;0.057;R
ES0031300000000001EX;02/10/2021;15;0.052;R
ES0031300000000001EX;02/10/2021;16;0.281;R
ES0031300000000001EX;02/10/2021;17;0.214;R
ES0031300000000001EX;02/10/2021;18;0.233;R
ES0031300000000001EX;02/10/2021;19;0.224;R
ES0031300000000001EX;02/10/2021;20;0.209;R
