CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/01/2021;1;0.935;R
ES0031300000000001EX;01/01/2021;2;1.869;R
ES0031300000000001EX;01/01/2021;3;1.411;R
ES0031300000000001EX;01/01/2021;4;1.367;R
ES0031300000000001EX;01/01/2021;5;1.09;R
ES0031300000000001EX;01/01/2021;6;1.012;R
ES0031300000000001EX;01/01/2021;7;1.106;R
ES0031300000000001EX;01/01/2021;8;1.035;R
ES0031300000000001EX;01/01/2021;9;1.065;R
ES0031300000000001EX;01/01/2021;10;1.16;R
ES0031300000000001EX;01/01/2021;11;1.062;R
ES0031300000000001EX;01/01/2021;12;1.996;R
ES0031300000000001EX;01/01/2021;13;1.413;R
ES0031300000000001EX;01/01/2021;14;1.929;R
ES0031300000000001EX;01/01/2021;15;0.354;R
ES0031300000000001EX;01/01/2021;16;0.388;R
ES0031300000000001EX;01/01/2021;17;0.43;R
ES0031300000000001EX;01/01/2021;18;0.563;R
ES0031300000000001EX;01/01/2021;19;0.895;R
ES0031300000000001EX;01/01/2021;20;1.452;R
ES0031300000000001EX;01/01/2021;21;1.318;R
ES0031300000000001EX;01/01/2021;22;1.519;R
ES0031300000000001EX;01/01/2021;23;1.284;R
ES0031300000000001EX;01/01/2021;24;1.372;R
ES0031300000000001EX;02/01/2021;1;2.726;R
ES0031300000000001EX;02/01/2021;2;1.053;R
ES0031300000000001EX;02/01/2021;3;1.174;R
ES0031300000000001EX;02/01/2021;4;1.22;R
ES0031300000000001EX;02/01/2021;5;1.252;R
ES0031300000000001EX;02/01/2021;6;1.222;R
ES0031300000000001EX;02/01/2021;7;1.178;R
ES0031300000000001EX;02/01/2021;8;1.294;R
ES0031300000000001EX;02/01/2021;9;1.25;R
ES0031300000000001EX;02/01/2021;10;1.162;R
ES0031300000000001EX;02/01/2021;11;1.685;R
ES0031300000000001EX;02/01/2021;12;3.212;R
ES0031300000000001EX;02/01/2021;13;1.615;R
ES0031300000000001EX;02/01/2021;14;0.049;R
ES0031300000000001EX;02/01/2021;15;1.981;R
ES0031300000000001EX;02/01/2021;16;1.535;R
ES0031300000000001EX;02/01/2021;17;1.555;R
ES0031300000000001EX;02/01/2021;18;1.71;R
ES0031300000000001EX;02/01/2021;19;1.735;R
ES0031300000000001EX;02/01/2021;20;1.733;R
ES0031300000000001EX;02/01/2021;21;1.719;R
ES0031300000000001EX;02/01/2021;22;1.552;R
ES0031300000000001EX;02/01/2021;23;1.423;R
ES0031300000000001EX;02/01/2021;24;1.857;R
ES0031300000000001EX;03/01/2021;1;1.172;R
ES0031300000000001EX;03/01/2021;2;1.192;R
ES0031300000000001EX;03/01/2021;3;1.237;R
ES0031300000000001EX;03/01/2021;4;1.303;R
ES0031300000000001EX;03/01/2021;5;1.294;R
ES0031300000000001EX;03/01/2021;6;1.385;R
ES0031300000000001EX;03/01/2021;7;1.567;R
ES0031300000000001EX;03/01/2021;8;1.33;R
ES0031300000000001EX;03/01/2021;9;1.352;R
ES0031300000000001EX;03/01/2021;10;1.308;R
ES0031300000000001EX;03/01/2021;11;2.273;R
ES0031300000000001EX;03/01/2021;12;2.161;R
ES0031300000000001EX;03/01/2021;13;1.7;R
ES0031300000000001EX;03/01/2021;14;1.826;R
ES0031300000000001EX;03/01/2021;15;1.444;R
ES0031300000000001EX;03/01/2021;16;1.718;R
ES0031300000000001EX;03/01/2021;17;1.736;R
ES0031300000000001EX;03/01/2021;18;1.511;R
ES0031300000000001EX;03/01/2021;19;1.488;R
ES0031300000000001EX;03/01/2021;20;2.084;R
ES0031300000000001EX;03/01/2021;21;1.659;R
ES0031300000000001EX;03/01/2021;22;1.444;R
ES0031300000000001EX;03/01/2021;23;1.487;R
ES0031300000000001EX;03/01/2021;24;1.441;R
ES0031300000000001EX;04/01/2021;1;1.477;R
ES0031300000000001EX;04/01/2021;2;1.371;R
ES0031300000000001EX;04/01/2021;3;1.43;R
ES0031300000000001EX;04/01/2021;4;1.367;R
ES0031300000000001EX;04/01/2021;5;1.359;R
ES0031300000000001EX;04/01/2021;6;1.654;R
ES0031300000000001EX;04/01/2021;7;1.334;R
ES0031300000000001EX;04/01/2021;8;1.326;R
ES0031300000000001EX;04/01/2021;9;1.557;R
ES0031300000000001EX;04/01/2021;10;3.279;R
ES0031300000000001EX;04/01/2021;11;1.996;R
ES0031300000000001EX;04/01/2021;12;1.167;R
ES0031300000000001EX;04/01/2021;13;1.358;R
ES0031300000000001EX;04/01/2021;14;2.235;R
ES0031300000000001EX;04/01/2021;15;1.46;R
ES0031300000000001EX;04/01/2021;16;1.345;R
ES0031300000000001EX;04/01/2021;17;1.374;R
ES0031300000000001EX;04/01/2021;18;1.417;R
ES0031300000000001EX;04/01/2021;19;1.242;R
ES0031300000000001EX;04/01/2021;20;1.282;R
ES0031300000000001EX;04/01/2021;21;1.833;R
ES0031300000000001EX;04/01/2021;22;1.361;R
ES0031300000000001EX;04/01/2021;23;1.171;R
ES0031300000000001EX;04/01/2021;24;2.057;R
ES0031300000000001EX;05/01/2021;1;1.728;R
ES0031300000000001EX;05/01/2021;2;1.745;R
ES0031300000000001EX;05/01/2021;3;1.739;R
ES0031300000000001EX;05/01/2021;4;1.701;R
ES0031300000000001EX;05/01/2021;5;1.75;R
ES0031300000000001EX;05/01/2021;6;1.682;R
ES0031300000000001EX;05/01/2021;7;1.752;R
ES0031300000000001EX;05/01/2021;8;1.966;R
ES0031300000000001EX;05/01/2021;9;1.539;R
ES0031300000000001EX;05/01/2021;10;1.483;R
ES0031300000000001EX;05/01/2021;11;2.726;R
ES0031300000000001EX;05/01/2021;12;1.076;R
