CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/02/2021;1;0.717;R
ES0031300000000000ED;01/02/2021;2;0.755;R
ES0031300000000000ED;01/02/2021;3;0.52;R
ES0031300000000000ED;01/02/2021;4;0.501;R
ES0031300000000000ED;01/02/2021;5;0.524;R
ES0031300000000000ED;01/02/2021;6;0.545;R
ES0031300000000000ED;01/02/2021;7;0.506;R
ES0031300000000000ED;01/02/2021;8;0.598;R
ES0031300000000000ED;01/02/2021;9;0.574;R
ES0031300000000000ED;01/02/2021;10;0.636;R
ES0031300000000000ED;01/02/2021;11;1.035;R
ES0031300000000000ED;01/02/2021;12;2.791;R
ES0031300000000000ED;01/02/2021;13;0.11;R
ES0031300000000000ED;01/02/2021;14;0.095;R
ES0031300000000000ED;01/02/2021;15;0.659;R
ES0031300000000000ED;01/02/2021;16;0.558;R
ES0031300000000000ED;01/02/2021;17;0.262;R
ES0031300000000000ED;01/02/2021;18;0.082;R
ES0031300000000000ED;01/02/2021;19;0.054;R
ES0031300000000000ED;01/02/2021;20;0.08;R
ES0031300000000000ED;01/02/2021;21;0.353;R
ES0031300000000000ED;01/02/2021;22;0.693;R
ES0031300000000000ED;01/02/2021;23;0.481;R
ES0031300000000000ED;01/02/2021;24;0.668;R
ES0031300000000000ED;02/02/2021;1;0.587;R
ES0031300000000000ED;02/02/2021;2;0.338;R
ES0031300000000000ED;02/02/2021;3;0.436;R
ES0031300000000000ED;02/02/2021;4;0.333;R
ES0031300000000000ED;02/02/2021;5;0.343;R
ES0031300000000000ED;02/02/2021;6;0.383;R
ES0031300000000000ED;02/02/2021;7;0.361;R
ES0031300000000000ED;02/02/2021;8;0.437;R
ES0031300000000000ED;02/02/2021;9;0.549;R
ES0031300000000000ED;02/02/2021;10;0.552;R
ES0031300000000000ED;02/02/2021;11;0.977;R
ES0031300000000000ED;02/02/2021;12;2.718;R
ES0031300000000000ED;02/02/2021;13;1.097;R
ES0031300000000000ED;02/02/2021;14;1.15;R
ES0031300000000000ED;02/02/2021;15;0.125;R
ES0031300000000000ED;02/02/2021;16;0.048;R
ES0031300000000000ED;02/02/2021;17;0.11;R
ES0031300000000000ED;02/02/2021;18;0.047;R
