CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/06/2021;1;0.102;R
ES0031300000000001EX;01/06/2021;2;0.062;R
ES0031300000000001EX;01/06/2021;3;0.068;R
ES0031300000000001EX;01/06/2021;4;0.061;R
ES0031300000000001EX;01/06/2021;5;0.062;R
ES0031300000000001EX;01/06/2021;6;0.061;R
ES0031300000000001EX;01/06/2021;7;0.056;R
ES0031300000000001EX;01/06/2021;8;0.056;R
ES0031300000000001EX;01/06/2021;9;0.223;R
ES0031300000000001EX;01/06/2021;10;0.206;R
ES0031300000000001EX;01/06/2021;11;0.066;R
ES0031300000000001EX;01/06/2021;12;0.071;R
ES0031300000000001EX;01/06/2021;13;0.066;R
ES0031300000000001EX;01/06/2021;14;0.233;R
ES0031300000000001EX;01/06/2021;15;0.698;R
ES0031300000000001EX;01/06/2021;16;0.397;R
ES0031300000000001EX;01/06/2021;17;0.206;R
ES0031300000000001EX;01/06/2021;18;0.063;R
ES0031300000000001EX;01/06/2021;19;0.136;R
ES0031300000000001EX;01/06/2021;20;0.136;R
ES0031300000000001EX;01/06/2021;21;0.221;R
ES0031300000000001EX;01/06/2021;22;0.242;R
ES0031300000000001EX;01/06/2021;23;0.308;R
ES0031300000000001EX;01/06/2021;24;0.232;R
ES0031300000000001EX;02/06/2021;1;0.24;R
ES0031300000000001EX;02/06/2021;2;0.133;R
ES0031300000000001EX;02/06/2021;3;0.069;R
ES0031300000000001EX;02/06/2021;4;0.058;R
ES0031300000000001EX;02/06/2021;5;0.056;R
ES0031300000000001EX;02/06/2021;6;0.056;R
ES0031300000000001EX;02/06/2021;7;0.05;R
ES0031300000000001EX;02/06/2021;8;0.05;R
ES0031300000000001EX;02/06/2021;9;0.222;R
ES0031300000000001EX;02/06/2021;10;0.13;R
ES0031300000000001EX;02/06/2021;11;0.072;R
ES0031300000000001EX;02/06/2021;12;0.185;R
ES0031300000000001EX;02/06/2021;13;0.065;R
ES0031300000000001EX;02/06/2021;14;0.073;R
ES0031300000000001EX;02/06/2021;15;0.208;R
ES0031300000000001EX;02/06/2021;16;1.048;R
ES0031300000000001EX;02/06/2021;17;0.457;R
ES0031300000000001EX;02/06/2021;18;0.063;R
ES0031300000000001EX;02/06/2021;19;0.057;R
ES0031300000000001EX;02/06/2021;20;0.079;R
ES0031300000000001EX;02/06/2021;21;0.332;R
ES0031300000000001EX;02/06/2021;22;0.356;R
