CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/08/2021;1;0.161;R
ES0031300000000000ED;01/08/2021;2;0.17;R
ES0031300000000000ED;01/08/2021;3;0.142;R
ES0031300000000000ED;01/08/2021;4;0.055;R
ES0031300000000000ED;01/08/2021;5;0.37;R
ES0031300000000000ED;01/08/2021;6;0.048;R
ES0031300000000000ED;01/08/2021;7;0.133;R
ES0031300000000000ED;01/08/2021;8;0.05;R
ES0031300000000000ED;01/08/2021;9;0.118;R
ES0031300000000000ED;01/08/2021;10;0.283;R
ES0031300000000000ED;01/08/2021;11;0.466;R
ES0031300000000000ED;01/08/2021;12;1.142;R
ES0031300000000000ED;01/08/2021;13;0.061;R
ES0031300000000000ED;01/08/2021;14;0.146;R
ES0031300000000000ED;01/08/2021;15;0.156;R
ES0031300000000000ED;01/08/2021;16;0.702;R
ES0031300000000000ED;01/08/2021;17;0.304;R
ES0031300000000000ED;01/08/2021;18;0.755;R
ES0031300000000000ED;01/08/2021;19;0.561;R
ES0031300000000000ED;01/08/2021;20;0.131;R
ES0031300000000000ED;01/08/2021;21;0.16;R
ES0031300000000000ED;01/08/2021;22;0.084;R
ES0031300000000000ED;01/08/2021;23;0.378;R
ES0031300000000000ED;01/08/2021;24;0.279;R
ES0031300000000000ED;02/08/2021;1;0.291;R
ES0031300000000000ED;02/08/2021;2;0.134;R
ES0031300000000000ED;02/08/2021;3;0.138;R
ES0031300000000000ED;02/08/2021;4;0.261;R
ES0031300000000000ED;02/08/2021;5;0.106;R
ES0031300000000000ED;02/08/2021;6;0.055;R
ES0031300000000000ED;02/08/2021;7;0.104;R
ES0031300000000000ED;02/08/2021;8;0.081;R
ES0031300000000000ED;02/08/2021;9;0.185;R
ES0031300000000000ED;02/08/2021;10;0.313;R
ES0031300000000000ED;02/08/2021;11;0.335;R
ES0031300000000000ED;02/08/2021;12;0.313;R
ES0031300000000000ED;02/08/2021;13;0.901;R
ES0031300000000000ED;02/08/2021;14;0.883;R
ES0031300000000000ED;02/08/2021;15;0.076;R
ES0031300000000000ED;02/08/2021;16;0.091;R
ES0031300000000000ED;02/08/2021;17;0.052;R
ES0031300000000000ED;02/08/2021;18;0.105;R
ES0031300000000000ED;02/08/2021;19;0.045;R
ES0031300000000000ED;02/08/2021;20;0.107;R
ES0031300000000000ED;02/08/2021;21;0.064;R
ES0031300000000000ED;02/08/2021;22;0.27;R
ES0031300000000000ED;02/08/2021;23;0.344;R
ES0031300000000000ED;02/08/2021;24;0.105;R
ES0031300000000000ED;03/08/2021;1;0.132;R
ES0031300000000000ED;03/08/2021;2;0.071;R
ES0031300000000000ED;03/08/2021;3;0.143;R
ES0031300000000000ED;03/08/2021;4;0.279;R
ES0031300000000000ED;03/08/2021;5;0.07;R
ES0031300000000000ED;03/08/2021;6;0.098;R
ES0031300000000000ED;03/08/2021;7;0.055;R
ES0031300000000000ED;03/08/2021;8;0.11;R
ES0031300000000000ED;03/08/2021;9;0.268;R
ES0031300000000000ED;03/08/2021;10;0.305;R
ES0031300000000000ED;03/08/2021;11;0.763;R
ES0031300000000000ED;03/08/2021;12;0.752;R
ES0031300000000000ED;03/08/2021;13;0.045;R
ES0031300000000000ED;03/08/2021;14;0.107;R
ES0031300000000000ED;03/08/2021;15;0.561;R
ES0031300000000000ED;03/08/2021;16;0.146;R
ES0031300000000000ED;03/08/2021;17;0.127;R
ES0031300000000000ED;03/08/2021;18;0.064;R
ES0031300000000000ED;03/08/2021;19;0.152;R
ES0031300000000000ED;03/08/2021;20;0.174;R
ES0031300000000000ED;03/08/2021;21;0.092;R
ES0031300000000000ED;03/08/2021;22;0.248;R
ES0031300000000000ED;03/08/2021;23;0.245;R
ES0031300000000000ED;03/08/2021;24;0.287;R
ES0031300000000000ED;04/08/2021;1;0.076;R
ES0031300000000000ED;04/08/2021;2;0.334;R
ES0031300000000000ED;04/08/2021;3;0.062;R
ES0031300000000000ED;04/08/2021;4;0.099;R
ES0031300000000000ED;04/08/2021;5;0.06;R
ES0031300000000000ED;04/08/2021;6;0.088;R
ES0031300000000000ED;04/08/2021;7;0.072;R
ES0031300000000000ED;04/08/2021;8;0.109;R
ES0031300000000000ED;04/08/2021;9;0.665;R
ES0031300000000000ED;04/08/2021;10;1.093;R
ES0031300000000000ED;04/08/2021;11;0.693;R
ES0031300000000000ED;04/08/2021;12;0.724;R
ES0031300000000000ED;04/08/2021;13;0.574;R
ES0031300000000000ED;04/08/2021;14;0.856;R
ES0031300000000000ED;04/08/2021;15;0.969;R
ES0031300000000000ED;04/08/2021;16;0.217;R
ES0031300000000000ED;04/08/2021;17;0.146;R
ES0031300000000000ED;04/08/2021;18;0.103;R
ES0031300000000000ED;04/08/2021;19;0.117;R
ES0031300000000000ED;04/08/2021;20;0.094;R
ES0031300000000000ED;04/08/2021;21;0.108;R
ES0031300000000000ED;04/08/2021;22;0.318;R
ES0031300000000000ED;04/08/2021;23;0.337;R
ES0031300000000000ED;04/08/2021;24;0.311;R
ES0031300000000000ED;05/08/2021;1;0.16;R
ES0031300000000000ED;05/08/2021;2;0.128;R
ES0031300000000000ED;05/08/2021;3;0.159;R
