CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/02/2021;1;0.141;R
ES0031300000000001EX;01/02/2021;2;0.291;R
ES0031300000000001EX;01/02/2021;3;0.087;R
ES0031300000000001EX;01/02/2021;4;0.05;R
ES0031300000000001EX;01/02/2021;5;0.044;R
ES0031300000000001EX;01/02/2021;6;0.092;R
ES0031300000000001EX;01/02/2021;7;0.037;R
ES0031300000000001EX;01/02/2021;8;0.717;R
ES0031300000000001EX;01/02/2021;9;1.549;R
ES0031300000000001EX;01/02/2021;10;2.45;R
ES0031300000000001EX;01/02/2021;11;0.601;R
ES0031300000000001EX;01/02/2021;12;0.621;R
ES0031300000000001EX;01/02/2021;13;0.395;R
ES0031300000000001EX;01/02/2021;14;0.344;R
ES0031300000000001EX;01/02/2021;15;1.037;R
ES0031300000000001EX;01/02/2021;16;0.191;R
ES0031300000000001EX;01/02/2021;17;0.085;R
ES0031300000000001EX;01/02/2021;18;0.165;R
ES0031300000000001EX;01/02/2021;19;0.232;R
ES0031300000000001EX;01/02/2021;20;0.199;R
ES0031300000000001EX;01/02/2021;21;0.883;R
ES0031300000000001EX;01/02/2021;22;1.239;R
ES0031300000000001EX;01/02/2021;23;0.871;R
ES0031300000000001EX;01/02/2021;24;0.831;R
ES0031300000000001EX;02/02/2021;1;0.884;R
ES0031300000000001EX;02/02/2021;2;0.248;R
ES0031300000000001EX;02/02/2021;3;0.218;R
ES0031300000000001EX;02/02/2021;4;0.298;R
ES0031300000000001EX;02/02/2021;5;0.254;R
ES0031300000000001EX;02/02/2021;6;0.604;R
ES0031300000000001EX;02/02/2021;7;0.369;R
ES0031300000000001EX;02/02/2021;8;0.352;R
ES0031300000000001EX;02/02/2021;9;0.894;R
ES0031300000000001EX;02/02/2021;10;2.366;R
ES0031300000000001EX;02/02/2021;11;1.929;R
ES0031300000000001EX;02/02/2021;12;0.511;R
ES0031300000000001EX;02/02/2021;13;0.837;R
ES0031300000000001EX;02/02/2021;14;0.23;R
ES0031300000000001EX;02/02/2021;15;0.42;R
ES0031300000000001EX;02/02/2021;16;0.142;R
ES0031300000000001EX;02/02/2021;17;0.047;R
ES0031300000000001EX;02/02/2021;18;0.176;R
ES0031300000000001EX;02/02/2021;19;0.199;R
ES0031300000000001EX;02/02/2021;20;0.24;R
ES0031300000000001EX;02/02/2021;21;0.198;R
ES0031300000000001EX;02/02/2021;22;0.754;R
ES0031300000000001EX;02/02/2021;23;0.819;R
ES0031300000000001EX;02/02/2021;24;0.728;R
ES0031300000000001EX;03/02/2021;1;0.725;R
ES0031300000000001EX;03/02/2021;2;0.226;R
ES0031300000000001EX;03/02/2021;3;0.309;R
ES0031300000000001EX;03/02/2021;4;0.326;R
ES0031300000000001EX;03/02/2021;5;0.357;R
ES0031300000000001EX;03/02/2021;6;0.386;R
ES0031300000000001EX;03/02/2021;7;0.373;R
ES0031300000000001EX;03/02/2021;8;0.45;R
ES0031300000000001EX;03/02/2021;9;0.974;R
ES0031300000000001EX;03/02/2021;10;1.926;R
ES0031300000000001EX;03/02/2021;11;2.541;R
ES0031300000000001EX;03/02/2021;12;1.509;R
ES0031300000000001EX;03/02/2021;13;1.322;R
ES0031300000000001EX;03/02/2021;14;0.065;R
ES0031300000000001EX;03/02/2021;15;0.761;R
ES0031300000000001EX;03/02/2021;16;0.247;R
ES0031300000000001EX;03/02/2021;17;0.266;R
ES0031300000000001EX;03/02/2021;18;0.501;R
ES0031300000000001EX;03/02/2021;19;1.214;R
ES0031300000000001EX;03/02/2021;20;0.935;R
ES0031300000000001EX;03/02/2021;21;0.089;R
ES0031300000000001EX;03/02/2021;22;0.277;R
ES0031300000000001EX;03/02/2021;23;0.293;R
ES0031300000000001EX;03/02/2021;24;0.239;R
ES0031300000000001EX;04/02/2021;1;0.34;R
ES0031300000000001EX;04/02/2021;2;0.197;R
