CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/10/2021;1;0.119;R
ES0031300000000000ED;01/10/2021;2;0.102;R
ES0031300000000000ED;01/10/2021;3;0.305;R
ES0031300000000000ED;01/10/2021;4;0.096;R
ES0031300000000000ED;01/10/2021;5;0.038;R
ES0031300000000000ED;01/10/2021;6;0.117;R
ES0031300000000000ED;01/10/2021;7;0.038;R
ES0031300000000000ED;01/10/2021;8;0.111;R
ES0031300000000000ED;01/10/2021;9;0.471;R
ES0031300000000000ED;01/10/2021;10;2.374;R
ES0031300000000000ED;01/10/2021;11;0.719;R
ES0031300000000000ED;01/10/2021;12;0.108;R
ES0031300000000000ED;01/10/2021;13;0.111;R
ES0031300000000000ED;01/10/2021;14;0.179;R
ES0031300000000000ED;01/10/2021;15;0.254;R
ES0031300000000000ED;01/10/2021;16;0.33;R
ES0031300000000000ED;01/10/2021;17;0.147;R
ES0031300000000000ED;01/10/2021;18;0.058;R
ES0031300000000000ED;01/10/2021;19;0.141;R
ES0031300000000000ED;01/10/2021;20;0.168;R
ES0031300000000000ED;01/10/2021;21;0.246;R
ES0031300000000000ED;01/10/2021;22;0.367;R
ES0031300000000000ED;01/10/2021;23;0.544;R
ES0031300000000000ED;01/10/2021;24;0.259;R
ES0031300000000000ED;02/10/2021;1;0.146;R
ES0031300000000000ED;02/10/2021;2;0.077;R
ES0031300000000000ED;02/10/2021;3;0.052;R
ES0031300000000000ED;02/10/2021;4;0.101;R
ES0031300000000000ED;02/10/2021;5;0.038;R
ES0031300000000000ED;02/10/2021;6;0.106;R
ES0031300000000000ED;02/10/2021;7;0.046;R
ES0031300000000000ED;02/10/2021;8;1.22;R
ES0031300000000000ED;02/10/2021;9;0.419;R
ES0031300000000000ED;02/10/2021;10;1.139;R
ES0031300000000000ED;02/10/2021;11;0.181;R
ES0031300000000000ED;02/10/2021;12;0.17;R
ES0031300000000000ED;02/10/2021;13;0.071;R
ES0031300000000000ED;02/10/2021;14;0.136;R
ES0031300000000000ED;02/10/2021;15;0.068;R
ES0031300000000000ED;02/10/2021;16;0.301;R
ES0031300000000000ED;02/10/2021;17;0.099;R
ES0031300000000000ED;02/10/2021;18;0.087;R
ES0031300000000000ED;02/10/2021;19;0.183;R
ES0031300000000000ED;02/10/2021;20;0.13;R
ES0031300000000000ED;02/10/2021;21;0.171;R
ES0031300000000000ED;02/10/2021;22;0.423;R
ES0031300000000000ED;02/10/2021;23;0.68;R
ES0031300000000000ED;02/10/2021;24;0.349;R
ES0031300000000000ED;03/10/2021;1;0.238;R
ES0031300000000000ED;03/10/2021;2;0.042;R
ES0031300000000000ED;03/10/2021;3;0.109;R
ES0031300000000000ED;03/10/2021;4;0.036;R
ES0031300000000000ED;03/10/2021;5;0.06;R
ES0031300000000000ED;03/10/2021;6;0.093;R
ES0031300000000000ED;03/10/2021;7;0.286;R
ES0031300000000000ED;03/10/2021;8;0.113;R
ES0031300000000000ED;03/10/2021;9;0.071;R
ES0031300000000000ED;03/10/2021;10;0.147;R
ES0031300000000000ED;03/10/2021;11;0.38;R
ES0031300000000000ED;03/10/2021;12;0.507;R
ES0031300000000000ED;03/10/2021;13;1.05;R
ES0031300000000000ED;03/10/2021;14;0.118;R
ES0031300000000000ED;03/10/2021;15;0.536;R
ES0031300000000000ED;03/10/2021;16;0.359;R
ES0031300000000000ED;03/10/2021;17;0.265;R
ES0031300000000000ED;03/10/2021;18;0.222;R
