id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.53;2021-06-03T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;230.1;2021-06-03T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;132.65;2021-06-03T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;123.78;2021-06-03T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;123.41;2021-06-03T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;126.76;2021-06-03T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;226.34;2021-06-03T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.88;2021-06-03T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;237.45;2021-06-03T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.13;2021-06-03T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;149.56;2021-06-03T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;147.21;2021-06-03T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;103.12;2021-06-04T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;102.95;2021-06-04T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;102.52;2021-06-04T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.81;2021-06-04T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.77;2021-06-04T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;108.25;2021-06-04T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.09;2021-06-04T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;112.52;2021-06-04T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;149.52;2021-06-04T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;145.98;2021-06-04T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.55;2021-06-04T10:00:00+02:00
